step	idx	score	x	y	w	h	class
1	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
1	1	0.9960	-32.00	-40.00	0.00	-0.00	0
1	2	0.4925	9.52	0.04	3.04	1.16	5
1	3	0.4273	20.31	0.17	0.68	0.38	5
1	4	0.3183	17.62	-1.59	0.17	0.17	5
2	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
2	1	0.6903	9.59	0.07	2.79	1.09	0
3	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
3	1	0.6221	9.52	0.08	2.81	1.10	0
4	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
4	1	0.6667	9.50	0.04	2.81	1.08	0
5	0	0.9965	-32.00	-40.00	0.00	-0.00	0
5	1	0.7799	9.85	-0.30	2.80	1.08	0
6	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
6	1	0.9964	-32.00	-40.00	-0.00	-0.00	0
6	2	0.8748	10.36	-0.29	2.78	1.07	0
7	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
7	1	0.9960	-32.00	-40.00	0.00	-0.00	0
7	2	0.8619	10.65	-0.32	2.78	1.06	0
8	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
8	1	0.9965	-32.00	-40.00	0.00	-0.00	0
8	2	0.9946	-32.00	-40.00	-0.00	-0.00	0
8	3	0.8596	10.74	-0.29	2.79	1.06	0
9	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
9	1	0.9967	-32.00	-40.00	0.00	-0.00	0
9	2	0.9946	-32.00	-40.00	-0.00	-0.00	0
9	3	0.8338	10.84	-0.34	2.79	1.07	0
10	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
10	1	0.9945	-32.00	-40.00	-0.00	-0.00	0
10	2	0.7613	11.17	-0.31	2.78	1.08	0
11	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
11	1	0.9944	-32.00	-40.00	-0.00	-0.00	0
11	2	0.8048	11.19	-0.30	2.80	1.07	0
12	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
12	1	0.9966	-32.00	-40.00	0.00	-0.00	0
12	2	0.9948	-32.00	-40.00	-0.00	-0.00	0
12	3	0.8373	11.65	-0.29	2.78	1.06	0
13	0	0.9972	-32.00	-40.00	-0.00	-0.00	0
13	1	0.9966	-32.00	-40.00	0.00	-0.00	0
13	2	0.9947	-32.00	-40.00	-0.00	-0.00	0
13	3	0.7912	11.89	-0.29	2.76	1.06	0
14	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
14	1	0.9948	-32.00	-40.00	-0.00	-0.00	0
14	2	0.8927	12.43	-0.30	2.77	1.07	0
15	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
15	1	0.9949	-32.00	-40.00	-0.00	-0.00	0
15	2	0.9118	12.56	-0.34	2.79	1.07	0
16	0	0.9972	-32.00	-40.00	-0.00	-0.00	0
16	1	0.9965	-32.00	-40.00	0.00	-0.00	0
16	2	0.9949	-32.00	-40.00	-0.00	-0.00	0
16	3	0.8805	12.75	-0.34	2.79	1.07	0
17	0	0.9972	-32.00	-40.00	-0.00	-0.00	0
17	1	0.9964	-32.00	-40.00	0.00	-0.00	0
17	2	0.9950	-32.00	-40.00	-0.00	-0.00	0
17	3	0.8549	13.19	-0.47	2.77	1.07	0
18	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
18	1	0.9940	-32.00	-40.00	-0.00	-0.00	0
18	2	0.9161	13.35	-0.39	2.79	1.07	0
19	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
19	1	0.9972	-32.00	-40.00	-0.00	-0.00	0
19	2	0.9287	13.51	-0.37	2.81	1.08	0
20	0	0.9977	-32.00	-40.00	-0.00	-0.00	0
20	1	0.9970	-32.00	-40.00	-0.00	-0.00	0
20	2	0.8703	13.80	-0.35	2.80	1.07	0
21	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
21	1	0.9971	-32.00	-40.00	-0.00	-0.00	0
21	2	0.9953	-32.00	-40.00	-0.00	-0.00	0
21	3	0.8812	14.41	-0.52	2.84	1.10	0
22	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
22	1	0.8689	14.28	-0.63	2.77	1.06	0
23	0	0.9973	-32.00	-40.00	-0.00	-0.00	0
23	1	0.9965	-32.00	-40.00	0.00	-0.00	0
23	2	0.9946	-32.00	-40.00	-0.00	-0.00	0
23	3	0.8621	14.30	-0.88	2.79	1.07	0
24	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
24	1	0.9963	-32.00	-40.00	-0.00	-0.00	0
24	2	0.9940	-32.00	-40.00	-0.00	-0.00	0
24	3	0.7980	14.38	-1.06	2.73	1.05	0
25	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
25	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
25	2	0.9942	-32.00	-40.00	-0.00	-0.00	0
25	3	0.9040	14.43	-1.28	2.79	1.08	0
26	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
26	1	0.9952	-32.00	-40.00	-0.00	-0.00	0
26	2	0.9949	-32.00	-40.00	-0.00	-0.00	0
26	3	0.8508	14.73	-1.66	2.80	1.08	0
27	0	0.9976	-32.00	-40.00	0.00	-0.00	0
27	1	0.9953	-32.00	-40.00	-0.00	-0.00	0
27	2	0.8839	14.41	-2.18	2.80	1.08	0
28	0	0.9974	-32.00	-40.00	0.00	-0.00	0
28	1	0.9958	-32.00	-40.00	0.00	-0.00	0
28	2	0.9949	-32.00	-40.00	-0.00	-0.00	0
28	3	0.8930	14.35	-2.65	2.80	1.08	0
29	0	0.9965	-32.00	-40.00	0.00	-0.00	0
29	1	0.9957	-32.00	-40.00	0.00	-0.00	0
29	2	0.9953	-32.00	-40.00	-0.00	-0.00	0
29	3	0.8742	14.40	-2.94	2.82	1.08	0
30	0	0.9967	-32.00	-40.00	0.00	-0.00	0
30	1	0.9950	-32.00	-40.00	-0.00	-0.00	0
30	2	0.8743	14.40	-3.09	2.80	1.08	0
31	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
31	1	0.9956	-32.00	-40.00	0.00	-0.00	0
31	2	0.9948	-32.00	-40.00	-0.00	-0.00	0
31	3	0.8725	14.43	-3.11	2.81	1.08	0
32	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
32	1	0.9947	-32.00	-40.00	-0.00	-0.00	0
32	2	0.8686	14.49	-2.97	2.82	1.08	0
33	0	0.9962	-32.00	-40.00	0.00	-0.00	0
33	1	0.9953	-32.00	-40.00	-0.00	-0.00	0
33	2	0.9952	-32.00	-40.00	-0.00	-0.00	0
33	3	0.8948	14.64	-2.77	2.82	1.08	0
34	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
34	1	0.9957	-32.00	-40.00	-0.00	-0.00	0
34	2	0.8789	14.78	-2.38	2.82	1.08	0
35	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
35	1	0.9950	-32.00	-40.00	-0.00	-0.00	0
