step	score	x	y	w	h	class
131	0.7191	10.93	0.07	2.26	1.05	0
132	0.8767	10.90	0.16	2.28	1.05	0
133	0.8673	10.82	0.16	2.27	1.05	0
134	0.9184	10.71	0.16	2.28	1.05	0
135	0.8787	10.78	0.10	2.28	1.06	0
136	0.9089	10.72	0.10	2.26	1.05	0
137	0.8742	10.73	0.10	2.27	1.05	0
138	0.9101	10.69	0.09	2.27	1.05	0
139	0.8932	10.73	0.09	2.26	1.05	0
140	0.9142	10.63	0.09	2.26	1.05	0
141	0.8742	10.76	0.10	2.26	1.05	0
142	0.9157	10.64	0.08	2.26	1.05	0
143	0.8816	10.65	0.12	2.26	1.05	0
144	0.9034	10.52	0.15	2.26	1.05	0
145	0.8581	10.62	0.18	2.28	1.06	0
146	0.9005	10.55	0.20	2.25	1.04	0
147	0.8800	10.55	0.11	2.27	1.05	0
148	0.9282	10.51	0.18	2.29	1.05	0
149	0.8908	10.60	0.15	2.28	1.05	0
150	0.9203	10.49	0.12	2.29	1.05	0
151	0.8683	10.58	0.08	2.30	1.05	0
152	0.9063	10.44	0.09	2.29	1.05	0
153	0.8752	10.57	0.08	2.30	1.06	0
154	0.8972	10.38	0.06	2.27	1.05	0
155	0.8669	10.49	0.06	2.28	1.05	0
156	0.8870	10.33	0.07	2.27	1.05	0
157	0.8692	10.37	0.09	2.26	1.05	0
158	0.9184	10.46	0.13	2.31	1.05	0
159	0.8798	10.46	0.15	2.34	1.06	0
160	0.8954	10.35	0.26	2.32	1.05	0
161	0.8770	10.56	0.24	2.33	1.06	0
162	0.8911	10.33	0.24	2.30	1.05	0
163	0.8864	10.48	0.22	2.31	1.06	0
164	0.9175	10.44	0.26	2.31	1.05	0
165	0.8847	10.52	0.19	2.33	1.06	0
166	0.9052	10.35	0.20	2.35	1.05	0
167	0.8647	10.41	0.16	2.31	1.05	0
168	0.8869	10.29	0.19	2.33	1.04	0
169	0.8594	10.32	0.28	2.30	1.05	0
170	0.9019	10.35	0.30	2.38	1.06	0
171	0.8835	10.39	0.34	2.39	1.06	0
172	0.8817	10.28	0.36	2.40	1.06	0
173	0.8403	10.29	0.40	2.39	1.05	0
174	0.8768	10.21	0.39	2.37	1.05	0
175	0.8533	10.32	0.39	2.43	1.05	0
176	0.8840	10.25	0.40	2.36	1.06	0
177	0.8593	10.26	0.41	2.41	1.04	0
178	0.8967	10.28	0.40	2.39	1.04	0
179	0.8720	10.30	0.41	2.49	0.99	0
180	0.8645	10.25	0.44	2.41	1.04	0
181	0.8506	10.31	0.45	2.50	1.00	0
182	0.8524	10.25	0.44	2.36	1.04	0
183	0.7985	10.19	0.46	2.34	1.05	0
184	0.8534	10.17	0.57	2.32	1.05	0
185	0.8561	10.24	0.53	2.37	1.06	0
186	0.8620	10.19	0.59	2.33	1.05	0
187	0.8342	10.17	0.58	2.32	1.06	0
188	0.8633	10.21	0.55	2.31	1.05	0
189	0.8411	10.21	0.53	2.34	1.06	0
190	0.8497	10.09	0.64	2.31	1.05	0
191	0.8187	10.14	0.67	2.37	1.06	0
192	0.7898	10.07	0.81	2.36	1.05	0
193	0.7850	10.08	0.92	2.37	1.06	0
194	0.7218	9.89	1.06	2.28	1.04	0
195	0.8262	9.87	1.24	2.30	1.05	0
196	0.8925	9.83	1.34	2.29	1.05	0
197	0.8331	9.86	1.63	2.25	1.04	0
198	0.8693	9.68	1.86	2.26	1.04	0
199	0.8517	9.60	2.31	2.31	1.04	0
200	0.8835	9.24	2.70	2.29	1.05	0
201	0.8330	9.19	3.26	2.26	1.04	0
202	0.8931	8.75	3.64	2.21	1.03	0
203	0.0000					
204	0.0000					
205	0.0000					
206	0.0000					
207	0.0000					
208	0.0000					
209	0.0000					
210	0.0000					
211	0.0000					
212	0.0000					
213	0.0000					
214	0.0000					
215	0.0000					
216	0.0000					
217	0.8172	5.18	3.74	2.37	0.95	0
218	0.7823	4.74	3.39	2.37	0.96	0
219	0.8088	4.31	3.15	2.38	1.02	0
220	0.7627	2.90	3.19	2.39	1.03	0
221	0.8089	2.74	3.16	2.39	0.97	0
222	0.8848	1.48	3.31	2.35	0.95	0
223	0.8812	0.83	3.46	2.39	0.93	0
224	0.0000					
225	0.0000					
226	0.0000					
227	0.0000					
228	0.0000					
229	0.0000					
230	0.0000					
231	0.0000					
232	0.0000					
233	0.0000					
234	0.0000					
235	0.0000					
236	0.0000					
237	0.0000					
238	0.0000					
239	0.0000					
240	0.0000					
241	0.0000					
242	0.0000					
243	0.0000					
244	0.0000					
245	0.0000					
246	0.0000					
247	0.0000					
248	0.0000					
249	0.0000					
250	0.0000					
251	0.0000					
252	0.0000					
253	0.0000					
254	0.0000					
255	0.0000					
256	0.0000					
257	0.0000					
258	0.0000					
259	0.0000					
260	0.0000					
261	0.0000					
262	0.0000					
263	0.0000					
264	0.0000					
265	0.0000					
266	0.0000					
267	0.0000					
268	0.0000					
269	0.0000					
270	0.0000					
271	0.0000					
272	0.0000					
273	0.0000					
274	0.0000					
275	0.0000					
276	0.0000					
277	0.0000					
278	0.0000					
279	0.0000					
280	0.0000					
281	0.0000					
282	0.0000					
283	0.0000					
284	0.0000					
285	0.0000					
286	0.0000					
287	0.0000					
288	0.0000					
289	0.0000					
290	0.0000					
291	0.0000					
292	0.0000					
293	0.0000					
294	0.0000					
295	0.0000					
296	0.0000					
297	0.0000					
298	0.0000					
299	0.0000					
