step	score	x	y	w	h	class
127	0.7679	10.81	0.09	2.49	0.95	0
128	0.7986	10.75	0.09	2.47	0.95	0
129	0.7196	10.83	0.08	2.47	0.95	0
130	0.7797	10.80	0.09	2.45	0.94	0
131	0.7980	10.77	0.09	2.46	0.95	0
132	0.7290	10.84	0.08	2.46	0.94	0
133	0.6912	10.86	0.09	2.47	0.95	0
134	0.6820	10.87	0.09	2.45	0.94	0
135	0.7217	10.85	0.09	2.46	0.95	0
136	0.7434	11.14	0.07	2.43	0.93	0
137	0.7406	11.12	0.11	2.44	0.95	0
138	0.8065	11.33	0.07	2.42	0.93	0
139	0.8436	11.38	0.08	2.42	0.93	0
140	0.8474	11.32	0.10	2.41	0.94	0
141	0.8831	11.38	0.13	2.40	0.95	0
142	0.8827	11.33	0.14	2.41	0.95	0
143	0.8980	11.37	0.16	2.44	0.93	0
144	0.8374	11.21	0.14	2.42	0.94	0
145	0.8498	11.18	0.18	2.41	0.93	0
146	0.8960	11.41	0.17	2.42	0.93	0
147	0.8989	11.38	0.17	2.42	0.93	0
148	0.8662	11.23	0.18	2.41	0.93	0
149	0.8789	11.28	0.17	2.40	0.94	0
150	0.8603	11.23	0.18	2.38	0.95	0
151	0.8860	11.31	0.17	2.40	0.93	0
152	0.8970	11.32	0.19	2.42	0.93	0
153	0.8942	11.42	0.16	2.42	0.92	0
154	0.9078	11.48	0.20	2.41	0.93	0
155	0.9081	11.53	0.16	2.41	0.93	0
156	0.9104	11.43	0.26	2.43	0.94	0
157	0.9087	11.48	0.25	2.42	0.95	0
158	0.9010	11.40	0.18	2.40	0.95	0
159	0.9076	11.48	0.16	2.43	0.93	0
160	0.9066	11.44	0.21	2.42	0.95	0
161	0.9030	11.43	0.22	2.43	0.94	0
162	0.9076	11.46	0.23	2.42	0.94	0
163	0.9039	11.56	0.16	2.44	0.95	0
164	0.9053	11.45	0.16	2.45	0.95	0
165	0.8951	11.72	0.19	2.45	0.95	0
166	0.8972	11.74	0.18	2.43	0.95	0
167	0.9030	11.66	0.18	2.43	0.94	0
168	0.8804	11.81	0.18	2.44	0.95	0
169	0.8814	11.81	0.18	2.43	0.96	0
170	0.8973	11.78	0.20	2.42	0.96	0
171	0.8799	11.81	0.17	2.43	0.96	0
172	0.8681	11.81	0.16	2.42	0.96	0
173	0.8510	11.82	0.15	2.37	0.97	0
174	0.8378	11.84	0.15	2.40	0.97	0
175	0.8347	11.83	0.12	2.41	0.96	0
176	0.8362	11.80	0.11	2.37	0.98	0
177	0.7863	11.86	0.11	2.40	0.96	0
178	0.8489	11.82	0.13	2.39	0.97	0
179	0.8091	11.86	0.14	2.38	0.96	0
180	0.8768	11.73	0.15	2.46	0.93	0
181	0.8790	11.74	0.14	2.40	0.96	0
182	0.8920	11.66	0.17	2.46	0.93	0
183	0.8952	11.71	0.17	2.46	0.93	0
184	0.8949	11.62	0.16	2.45	0.93	0
185	0.8904	11.41	0.14	2.40	0.96	0
186	0.9016	11.43	0.15	2.45	0.93	0
187	0.9006	11.41	0.15	2.46	0.93	0
188	0.8990	11.32	0.16	2.46	0.93	0
189	0.9070	11.42	0.17	2.46	0.93	0
190	0.9037	11.37	0.18	2.45	0.93	0
191	0.9003	11.34	0.16	2.47	0.93	0
192	0.8922	11.28	0.15	2.44	0.93	0
193	0.7638	11.09	0.15	2.45	0.93	0
194	0.8971	11.30	0.15	2.44	0.93	0
195	0.8749	11.20	0.18	2.44	0.93	0
196	0.8867	11.24	0.19	2.45	0.93	0
197	0.8870	11.23	0.17	2.43	0.94	0
198	0.8445	11.11	0.18	2.45	0.93	0
199	0.9034	11.25	0.17	2.43	0.94	0
200	0.8396	11.11	0.17	2.43	0.94	0
201	0.8376	10.86	0.17	2.36	0.99	0
202	0.8653	10.82	0.21	2.42	0.95	0
203	0.8356	11.06	0.27	2.44	0.92	0
204	0.8096	11.06	0.30	2.45	0.93	0
205	0.8226	11.07	0.26	2.44	0.92	0
206	0.8468	10.85	0.24	2.36	0.97	0
207	0.7922	10.87	0.19	2.46	0.95	0
208	0.8275	10.86	0.25	2.41	0.96	0
209	0.9030	10.76	0.18	2.47	0.93	0
210	0.9070	10.73	0.20	2.46	0.93	0
211	0.9090	10.41	0.15	2.44	0.92	0
212	0.8714	10.29	0.14	2.44	0.95	0
213	0.7818	9.88	0.13	2.44	0.95	0
214	0.8809	9.58	0.14	2.43	0.95	0
215	0.8825	9.31	0.16	2.46	0.96	0
216	0.8753	8.77	0.12	2.47	0.94	0
217	0.9075	8.66	0.22	2.40	0.95	0
218	0.9210	8.48	0.19	2.42	0.94	0
219	0.9206	8.40	0.20	2.45	0.95	0
220	0.9191	8.39	0.21	2.45	0.95	0
221	0.9244	8.47	0.19	2.43	0.95	0
222	0.9277	8.45	0.19	2.45	0.95	0
223	0.9233	8.38	0.10	2.44	0.93	0
224	0.9244	8.37	0.10	2.44	0.93	0
225	0.9215	8.37	0.09	2.44	0.94	0
226	0.9235	8.36	0.10	2.43	0.94	0
227	0.9279	8.37	0.10	2.44	0.94	0
228	0.9289	8.37	0.11	2.45	0.94	0
229	0.9323	8.37	0.10	2.46	0.94	0
230	0.9363	8.37	0.10	2.47	0.94	0
231	0.9393	8.36	0.10	2.48	0.94	0
232	0.9422	8.35	0.11	2.47	0.95	0
233	0.9417	8.34	0.11	2.47	0.95	0
234	0.9404	8.35	0.10	2.47	0.94	0
235	0.9408	8.36	0.10	2.48	0.94	0
236	0.9399	8.35	0.10	2.48	0.94	0
237	0.9302	8.33	0.09	2.47	0.93	0
238	0.9347	8.33	0.09	2.47	0.94	0
239	0.9347	8.33	0.11	2.48	0.93	0
240	0.9371	8.33	0.12	2.48	0.94	0
241	0.9379	8.32	0.10	2.47	0.95	0
242	0.9360	8.31	0.09	2.48	0.95	0
243	0.9411	8.35	0.10	2.48	0.95	0
244	0.9413	8.35	0.10	2.48	0.95	0
245	0.9414	8.35	0.10	2.49	0.94	0
246	0.9418	8.34	0.10	2.47	0.95	0
247	0.9405	8.35	0.10	2.48	0.94	0
248	0.9412	8.34	0.10	2.48	0.95	0
249	0.9402	8.34	0.10	2.47	0.95	0
250	0.9403	8.35	0.10	2.48	0.95	0
251	0.9419	8.35	0.10	2.48	0.94	0
252	0.9416	8.36	0.10	2.49	0.94	0
253	0.9429	8.35	0.11	2.48	0.95	0
254	0.9434	8.35	0.11	2.48	0.95	0
255	0.9430	8.33	0.10	2.48	0.95	0
256	0.9435	8.35	0.11	2.48	0.95	0
257	0.9430	8.35	0.11	2.48	0.95	0
258	0.9413	8.35	0.11	2.48	0.94	0
259	0.9424	8.35	0.10	2.49	0.94	0
260	0.9421	8.35	0.10	2.48	0.95	0
261	0.9396	8.35	0.10	2.48	0.95	0
262	0.9398	8.34	0.09	2.47	0.95	0
263	0.9395	8.35	0.09	2.48	0.95	0
264	0.9408	8.34	0.10	2.48	0.95	0
265	0.9388	8.34	0.09	2.48	0.95	0
266	0.9427	8.33	0.10	2.49	0.94	0
267	0.9405	8.33	0.10	2.48	0.95	0
268	0.9399	8.33	0.10	2.49	0.94	0
269	0.9388	8.33	0.09	2.48	0.95	0
270	0.9396	8.33	0.09	2.48	0.95	0
271	0.9385	8.35	0.09	2.48	0.94	0
272	0.9392	8.33	0.10	2.47	0.95	0
273	0.9411	8.34	0.10	2.48	0.95	0
274	0.9411	8.33	0.11	2.47	0.95	0
275	0.9426	8.35	0.11	2.49	0.94	0
276	0.9426	8.34	0.11	2.49	0.94	0
277	0.9418	8.34	0.11	2.48	0.95	0
278	0.9418	8.33	0.11	2.49	0.94	0
279	0.9423	8.35	0.11	2.48	0.94	0
280	0.9451	8.36	0.11	2.49	0.94	0
281	0.9425	8.34	0.10	2.48	0.95	0
282	0.9425	8.35	0.11	2.48	0.94	0
283	0.9434	8.35	0.11	2.48	0.94	0
284	0.9418	8.34	0.11	2.48	0.95	0
285	0.9405	8.37	0.10	2.49	0.94	0
286	0.9406	8.33	0.10	2.47	0.95	0
287	0.9416	8.34	0.11	2.48	0.94	0
288	0.9419	8.34	0.12	2.47	0.95	0
289	0.9431	8.33	0.11	2.47	0.95	0
290	0.9419	8.35	0.10	2.49	0.94	0
291	0.9420	8.35	0.10	2.49	0.94	0
292	0.9423	8.36	0.11	2.49	0.94	0
293	0.9422	8.36	0.11	2.49	0.94	0
294	0.9442	8.36	0.10	2.49	0.95	0
295	0.9418	8.35	0.10	2.48	0.94	0
296	0.9425	8.34	0.11	2.48	0.95	0
297	0.9412	8.35	0.10	2.48	0.94	0
298	0.9408	8.34	0.10	2.48	0.94	0
299	0.9413	8.36	0.10	2.49	0.94	0
