step	idx	score	x	y	w	h	class
1	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
1	1	0.9945	-32.00	-40.00	-0.00	-0.00	0
1	2	0.9945	-32.00	-40.00	-0.00	-0.00	0
1	3	0.7686	9.74	-0.02	2.82	1.09	0
2	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
2	1	0.9945	-32.00	-40.00	0.00	-0.00	0
2	2	0.9943	-32.00	-40.00	-0.00	-0.00	0
2	3	0.7722	9.70	-0.03	2.81	1.08	0
3	0	0.9976	-32.00	-40.00	-0.00	-0.00	0
3	1	0.9973	-32.00	-40.00	-0.00	-0.00	0
3	2	0.9956	-32.00	-40.00	-0.00	-0.00	0
3	3	0.7577	9.77	-0.04	2.88	1.10	0
4	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
4	1	0.9978	-32.00	-40.00	-0.00	-0.00	0
4	2	0.9968	-32.00	-40.00	-0.00	-0.00	0
4	3	0.8125	9.68	0.05	2.84	1.10	0
5	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
5	1	0.9983	-32.00	-40.00	0.00	0.00	0
5	2	0.9972	-32.00	-40.00	-0.00	-0.00	0
5	3	0.8068	9.85	0.08	2.85	1.10	0
6	0	0.9987	-32.00	-40.00	-0.00	0.00	0
6	1	0.9981	-32.00	-40.00	0.00	0.00	0
6	2	0.9981	-32.00	-40.00	0.00	-0.00	0
6	3	0.8870	10.30	0.07	2.81	1.08	0
7	0	0.9988	-32.00	-40.00	0.00	0.00	0
7	1	0.9981	-32.00	-40.00	0.00	0.00	0
7	2	0.9980	-32.00	-40.00	0.00	-0.00	0
7	3	0.8993	10.50	0.06	2.80	1.08	0
8	0	0.9988	-32.00	-40.00	-0.00	0.00	0
8	1	0.9985	-32.00	-40.00	0.00	0.00	0
8	2	0.9982	-32.00	-40.00	0.00	0.00	0
8	3	0.8182	10.80	0.05	2.85	1.10	0
9	0	0.9988	-32.00	-40.00	-0.00	0.00	0
9	1	0.9982	-32.00	-40.00	0.00	0.00	0
9	2	0.9981	-32.00	-40.00	0.00	-0.00	0
9	3	0.8016	11.23	-0.12	2.79	1.07	0
10	0	0.9988	-32.00	-40.00	-0.00	0.00	0
10	1	0.9983	-32.00	-40.00	0.00	-0.00	0
10	2	0.9983	-32.00	-40.00	0.00	0.00	0
10	3	0.8240	11.40	-0.11	2.79	1.07	0
11	0	0.9988	-32.00	-40.00	-0.00	0.00	0
11	1	0.9984	-32.00	-40.00	0.00	0.00	0
11	2	0.9982	-32.00	-40.00	0.00	-0.00	0
11	3	0.8403	11.38	0.04	2.81	1.09	0
12	0	0.9989	-32.00	-40.00	-0.00	0.00	0
12	1	0.9986	-32.00	-40.00	0.00	0.00	0
12	2	0.9984	-32.00	-40.00	-0.00	-0.00	0
12	3	0.8202	11.75	0.03	2.81	1.09	0
13	0	0.9987	-32.00	-40.00	-0.00	0.00	0
13	1	0.9979	-32.00	-40.00	-0.00	-0.00	0
13	2	0.7482	12.18	-0.03	2.80	1.08	0
14	0	0.9985	-32.00	-40.00	0.00	-0.00	0
14	1	0.9982	-32.00	-40.00	-0.00	0.00	0
14	2	0.9979	-32.00	-40.00	-0.00	-0.00	0
14	3	0.8073	12.30	-0.04	2.81	1.08	0
15	0	0.9983	-32.00	-40.00	0.00	-0.00	0
15	1	0.9981	-32.00	-40.00	-0.00	-0.00	0
15	2	0.9974	-32.00	-40.00	-0.00	-0.00	0
15	3	0.8679	12.52	-0.08	2.78	1.07	0
16	0	0.9985	-32.00	-40.00	-0.00	0.00	0
16	1	0.9983	-32.00	-40.00	0.00	-0.00	0
16	2	0.9975	-32.00	-40.00	-0.00	-0.00	0
16	3	0.8472	12.49	0.04	2.86	1.11	0
17	0	0.9988	-32.00	-40.00	-0.00	0.00	0
17	1	0.9983	-32.00	-40.00	0.00	-0.00	0
17	2	0.9977	-32.00	-40.00	-0.00	-0.00	0
