step	score	x	y	w	h	class
0	0.0000					
1	0.7368	9.84	-0.06	2.34	0.96	0
2	0.7456	9.83	-0.04	2.30	0.99	0
3	0.7611	9.85	-0.06	2.26	1.00	0
4	0.8190	10.18	0.06	2.45	0.93	0
5	0.8864	10.26	0.08	2.44	0.93	0
6	0.9038	10.54	0.07	2.39	0.94	0
7	0.8400	10.77	0.07	2.46	0.94	0
8	0.8216	10.83	0.08	2.45	0.94	0
9	0.8599	11.28	0.07	2.47	0.94	0
10	0.8737	11.48	0.08	2.43	0.94	0
11	0.8665	11.64	0.08	2.38	0.96	0
12	0.8619	12.23	0.08	2.44	0.97	0
13	0.8944	12.54	0.08	2.46	0.96	0
14	0.8593	12.77	0.09	2.43	0.96	0
15	0.8453	12.78	0.08	2.46	0.95	0
16	0.7586	12.86	0.08	2.44	0.94	0
17	0.7821	13.16	0.09	2.45	0.95	0
18	0.8500	13.76	0.10	2.41	0.95	0
19	0.8035	14.14	0.10	2.40	0.95	0
20	0.8473	14.25	0.10	2.41	0.94	0
21	0.8791	14.50	0.11	2.42	0.94	0
22	0.8509	14.55	0.10	2.40	0.95	0
23	0.8406	14.66	0.09	2.33	0.97	0
24	0.8426	14.61	0.10	2.39	0.95	0
25	0.8085	15.22	0.11	2.42	0.93	0
26	0.8423	15.32	0.11	2.44	0.92	0
27	0.8615	15.30	0.11	2.44	0.93	0
28	0.8745	15.37	0.09	2.43	0.93	0
29	0.8842	15.43	0.08	2.39	0.95	0
30	0.8189	15.18	0.08	2.44	0.94	0
31	0.8803	15.48	0.09	2.39	0.95	0
32	0.8374	15.21	0.09	2.36	0.97	0
33	0.8601	15.32	0.09	2.44	0.93	0
34	0.8606	15.52	0.10	2.41	0.93	0
35	0.8617	15.59	0.09	2.38	0.95	0
36	0.8465	15.52	0.09	2.38	0.95	0
37	0.8408	15.45	0.10	2.43	0.93	0
38	0.7539	15.87	0.10	2.43	0.92	0
39	0.7871	15.83	0.12	2.46	0.94	0
40	0.8078	15.73	0.10	2.42	0.95	0
41	0.8071	15.86	0.16	2.46	0.94	0
42	0.7875	16.14	0.11	2.46	0.95	0
43	0.8115	16.15	0.12	2.46	0.95	0
44	0.8121	15.87	0.14	2.43	0.94	0
45	0.8353	16.21	0.10	2.45	0.95	0
46	0.7785	16.17	0.09	2.45	0.94	0
47	0.7540	15.87	0.07	2.38	0.97	0
48	0.7913	16.18	0.07	2.39	0.97	0
49	0.8010	16.42	0.07	2.46	0.95	0
50	0.7947	16.31	0.06	2.39	0.96	0
51	0.8004	16.41	0.06	2.43	0.95	0
52	0.8215	16.59	0.06	2.44	0.94	0
53	0.8135	16.65	0.05	2.45	0.93	0
54	0.8151	16.62	0.05	2.43	0.95	0
55	0.7899	16.60	0.04	2.42	0.95	0
56	0.7998	16.70	0.05	2.40	0.95	0
57	0.8033	16.53	0.07	2.41	0.95	0
58	0.7154	16.86	0.05	2.38	0.96	0
59	0.6928	16.85	0.06	2.39	0.95	0
60	0.6597	17.21	0.06	2.49	0.96	0
61	0.7815	16.81	0.07	2.36	0.97	0
62	0.6703	17.18	0.06	2.50	0.96	0
63	0.7072	16.87	0.07	2.36	0.96	0
64	0.7288	16.85	0.07	2.38	0.96	0
65	0.7370	17.25	0.04	2.42	0.96	0
66	0.7945	17.28	0.06	2.40	0.96	0
67	0.7351	17.15	0.06	2.41	0.96	0
68	0.7649	16.83	0.06	2.34	0.97	0
69	0.7496	17.22	0.07	2.26	1.01	0
70	0.7207	16.87	0.08	2.27	1.03	0
71	0.6954	16.85	0.07	2.24	1.03	0
72	0.7699	17.35	0.07	2.36	0.98	0
73	0.7794	17.40	0.08	2.42	0.96	0
74	0.7763	17.73	0.07	2.38	0.97	0
75	0.8126	17.53	0.08	2.39	0.96	0
76	0.7934	17.34	0.09	2.44	0.95	0
77	0.7959	17.34	0.06	2.43	0.95	0
78	0.8436	17.51	0.10	2.40	0.96	0
79	0.7936	17.28	0.09	2.39	0.97	0
80	0.7993	17.51	0.06	2.41	0.95	0
81	0.7396	17.17	0.08	2.41	0.96	0
82	0.7524	17.59	0.07	2.40	0.95	0
83	0.7777	17.73	0.08	2.41	0.95	0
84	0.8176	17.70	0.09	2.39	0.97	0
85	0.7909	18.24	0.10	2.50	0.96	0
86	0.7701	17.82	0.07	2.40	0.95	0
87	0.7863	17.76	0.08	2.43	0.94	0
88	0.7359	18.25	0.09	2.51	0.97	0
89	0.7456	17.76	0.09	2.42	0.94	0
90	0.8107	18.39	0.09	2.51	0.96	0
91	0.8274	18.33	0.10	2.50	0.96	0
92	0.7991	18.18	0.10	2.52	0.96	0
93	0.8351	18.34	0.09	2.51	0.96	0
94	0.7804	17.73	0.09	2.43	0.96	0
95	0.8221	18.44	0.09	2.50	0.96	0
96	0.8066	18.53	0.09	2.49	0.96	0
97	0.8304	18.43	0.09	2.52	0.97	0
98	0.8379	18.50	0.09	2.53	0.97	0
