tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,follower_throttle,follower_steer,follower_brake,collision_detected
0,0.0,1.54,109.4,7.06,-7.53,142.19,7.06,34.021,-1,0.0,0.0,1.0,0
1,0.05,1.54,109.4,3.31,-7.53,142.19,3.26,34.021,-1,0.0,0.0,1.0,0
2,0.1,1.54,109.4,1.24,-7.53,142.19,1.21,34.021,-1,0.0,0.0,1.0,0
3,0.15,1.54,109.4,0.25,-7.53,142.19,0.24,34.021,-1,0.0,0.0,1.0,0
4,0.2,1.54,109.4,0.18,-7.53,142.19,0.18,34.021,283971.635,0.0,0.0,1.0,0
5,0.25,1.54,109.4,0.32,-7.53,142.19,0.32,34.021,-1,0.75,0.0,0.0,0
6,0.3,1.54,109.4,0.33,-7.53,142.19,0.33,34.021,-1,0.75,0.0,0.0,0
7,0.35,1.54,109.4,0.29,-7.53,142.19,0.29,34.021,-1,0.75,0.0,0.0,0
8,0.4,1.547,109.4,1.44,-7.53,142.19,0.23,34.023,-1,0.75,0.0,0.0,0
9,0.45,1.593,109.401,4.36,-7.53,142.19,0.18,34.035,-1,0.75,0.0,0.0,0
10,0.5,1.674,109.403,6.53,-7.53,142.19,0.13,34.055,-1,0.75,0.0,0.0,0
11,0.55,1.78,109.405,8.31,-7.53,142.19,0.1,34.082,-1,0.75,0.0,0.0,0
12,0.6,1.907,109.407,9.7,-7.53,142.19,0.07,34.114,-1,0.75,0.0,0.0,0
13,0.65,2.053,109.41,11.03,-7.53,142.19,0.05,34.152,-1,0.75,0.0,0.0,0
14,0.7,2.217,109.414,12.27,-7.53,142.19,0.03,34.194,-1,0.75,0.0,0.0,0
15,0.75,2.397,109.418,13.41,-7.53,142.203,2.03,34.254,-1,0.75,0.0,0.0,0
16,0.8,2.592,109.423,14.48,-7.529,142.255,4.71,34.357,-1,0.75,-0.053,0.0,0
17,0.85,2.802,109.428,15.51,-7.528,142.336,6.59,34.491,-1,0.75,-0.016,0.0,0
18,0.9,3.025,109.434,16.52,-7.527,142.441,8.09,34.653,-1,0.75,-0.0,0.0,0
19,0.95,3.263,109.44,17.51,-7.528,142.565,9.37,34.838,-1,0.75,0.024,0.0,0
20,1.0,3.514,109.447,18.39,-7.53,142.703,10.39,35.042,-1,0.75,0.021,0.0,0
21,1.05,3.773,109.451,18.76,-7.531,142.856,11.39,35.266,-1,0.75,0.025,0.0,0
22,1.1,4.029,109.454,17.9,-7.533,143.022,12.37,35.504,-1,0.75,0.018,0.0,0
23,1.15,4.237,109.456,13.07,-7.536,143.202,13.31,35.741,519.866,0.75,0.022,0.0,0
24,1.2,4.417,109.458,13.19,-7.539,143.394,14.22,35.981,125.647,0.75,0.02,0.0,0
25,1.25,4.604,109.46,13.58,-7.542,143.599,15.08,36.235,86.951,0.75,0.014,0.0,0
26,1.3,4.797,109.462,14.15,-7.545,143.816,15.92,36.503,73.922,0.75,0.013,0.0,0
27,1.35,5.0,109.465,14.92,-7.548,144.044,16.75,36.785,72.22,0.75,0.011,0.0,0
28,1.4,5.214,109.467,15.77,-7.551,144.283,17.56,37.082,74.404,0.75,0.003,0.0,0
29,1.45,5.44,109.47,16.67,-7.554,144.533,18.36,37.394,79.445,0.75,0.015,0.0,0
30,1.5,5.68,109.473,17.59,-7.558,144.795,19.01,37.721,95.528,0.75,0.004,0.0,0
31,1.55,5.931,109.476,18.44,-7.562,145.058,19.05,38.055,227.34,0.75,0.009,0.0,0
32,1.6,6.192,109.478,18.95,-7.566,145.324,19.18,38.395,599.355,0.75,0.007,0.0,0
33,1.65,6.45,109.482,18.38,-7.57,145.594,19.63,38.738,111.264,0.75,0.008,0.0,0
34,1.7,6.677,109.484,14.43,-7.575,145.87,20.05,39.077,25.053,0.75,0.006,0.0,0
35,1.75,6.852,109.486,12.48,-7.579,146.154,20.72,39.405,17.219,0.75,-0.003,0.0,0
36,1.8,7.029,109.487,12.89,-7.583,146.446,21.3,39.743,17.013,0.75,-0.001,0.0,0
37,1.85,7.212,109.488,13.39,-7.587,146.748,22.02,40.091,16.733,0.384,-0.005,0.0,0
38,1.9,7.404,109.489,14.15,-7.591,147.057,22.4,40.451,17.64,0.03,-0.007,0.0,0
39,1.95,7.607,109.489,14.99,-7.595,147.371,22.64,40.818,19.23,0.108,0.002,0.0,0
40,2.0,7.823,109.49,15.9,-7.598,147.684,22.56,41.19,22.271,0.102,-0.009,0.0,0
41,2.05,8.052,109.491,16.83,-7.602,147.997,22.52,41.566,26.298,0.096,-0.003,0.0,0
42,2.1,8.293,109.492,17.74,-7.605,148.308,22.25,41.945,33.476,0.089,-0.009,0.0,0
43,2.15,8.547,109.493,18.53,-7.608,148.615,22.08,42.327,42.869,0.083,-0.006,0.0,0
44,2.2,8.807,109.494,18.79,-7.61,148.919,21.72,42.707,52.544,0.077,-0.012,0.0,0
45,2.25,9.059,109.494,17.02,-7.612,149.219,21.49,43.081,34.755,0.071,-0.006,0.0,0
46,2.3,9.254,109.493,12.16,-7.613,149.514,21.08,43.43,17.535,0.255,-0.018,0.0,0
47,2.35,9.424,109.494,12.45,-7.614,149.805,20.89,43.764,18.665,0.75,-0.006,0.0,0
48,2.4,9.602,109.494,13.09,-7.615,150.093,20.68,44.098,20.919,0.75,-0.005,0.0,0
49,2.45,9.79,109.495,13.89,-7.616,150.381,20.82,44.437,23.068,0.75,0.0,0.0,0
50,2.5,9.991,109.496,14.78,-7.618,150.671,20.99,44.783,25.957,0.75,-0.004,0.0,0
