step	idx	score	x	y	w	h	class
32	2	0.9957	-32.00	-40.00	-0.00	-0.00	0
32	3	0.8700	14.27	-1.40	2.69	1.04	0
32	4	0.3279	63.58	-33.48	2.59	1.06	0
33	0	0.9966	-32.00	-40.00	0.00	-0.00	0
33	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
33	2	0.9960	-32.00	-40.00	-0.00	-0.00	0
33	3	0.7940	14.14	-0.84	2.82	1.08	0
34	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
34	1	0.9962	-32.00	-40.00	0.00	-0.00	0
34	2	0.9959	-32.00	-40.00	-0.00	-0.00	0
34	3	0.8763	14.25	-0.53	2.73	1.06	0
34	4	0.3149	29.48	-0.83	2.48	1.00	0
35	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
35	1	0.9041	14.33	-0.21	2.81	1.09	0
36	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
36	1	0.8588	14.34	0.08	2.81	1.09	0
37	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
37	1	0.8717	14.40	0.24	2.69	1.05	0
38	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
38	1	0.8810	14.62	0.27	2.80	1.08	0
39	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
39	1	0.8778	14.54	0.35	2.80	1.08	0
40	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
40	1	0.9957	-32.00	-40.00	0.00	-0.00	0
40	2	0.9953	-32.00	-40.00	0.00	-0.00	0
40	3	0.8933	14.49	0.46	2.80	1.08	0
41	0	0.9971	-32.00	-40.00	0.00	-0.00	0
41	1	0.9970	-32.00	-40.00	-0.00	-0.00	0
41	2	0.8790	14.63	0.50	2.80	1.08	0
41	3	0.3174	30.50	1.73	2.51	1.00	0
42	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
42	1	0.9959	-32.00	-40.00	-0.00	-0.00	0
42	2	0.7626	14.84	0.60	2.79	1.07	0
43	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
43	1	0.9969	-32.00	-40.00	0.00	-0.00	0
43	2	0.9960	-32.00	-40.00	-0.00	-0.00	0
43	3	0.8458	14.68	0.71	2.76	1.06	0
44	0	0.9973	-32.00	-40.00	-0.00	-0.00	0
44	1	0.9969	-32.00	-40.00	0.00	-0.00	0
44	2	0.7905	15.13	0.72	2.79	1.07	0
45	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
45	1	0.9973	-32.00	-40.00	0.00	-0.00	0
45	2	0.7760	15.13	0.74	2.79	1.07	0
46	0	0.9974	-32.00	-40.00	0.00	-0.00	0
46	1	0.9974	-32.00	-40.00	-0.00	-0.00	0
46	2	0.7888	15.14	0.76	2.79	1.08	0
47	0	0.9977	-32.00	-40.00	-0.00	-0.00	0
47	1	0.9974	-32.00	-40.00	-0.00	-0.00	0
47	2	0.8154	15.19	0.85	2.78	1.08	0
48	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
48	1	0.9973	-32.00	-40.00	0.00	-0.00	0
48	2	0.7684	15.11	0.74	2.80	1.08	0
49	0	0.9971	-32.00	-40.00	0.00	-0.00	0
49	1	0.9968	-32.00	-40.00	-0.00	-0.00	0
49	2	0.7955	15.17	0.76	2.68	1.04	0
50	0	0.9974	-32.00	-40.00	0.00	-0.00	0
50	1	0.9965	-32.00	-40.00	-0.00	-0.00	0
50	2	0.9960	-32.00	-40.00	-0.00	-0.00	0
50	3	0.8637	15.25	0.65	2.78	1.08	0
50	4	0.3199	31.49	1.27	2.50	1.00	0
51	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
51	1	0.9968	-32.00	-40.00	-0.00	-0.00	0
51	2	0.8435	15.24	0.61	2.70	1.05	0
52	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
52	1	0.9962	-32.00	-40.00	0.00	-0.00	0
52	2	0.8683	15.29	0.55	2.80	1.09	0
53	0	0.9966	-32.00	-40.00	-0.00	-0.00	0
53	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
53	2	0.8984	15.41	0.48	2.79	1.09	0
54	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
54	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
54	2	0.8633	15.28	0.33	2.81	1.09	0
54	3	0.3418	57.60	-27.55	2.58	1.05	0
54	4	0.3044	57.51	-31.41	2.57	1.04	0
55	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
55	1	0.9961	-32.00	-40.00	0.00	-0.00	0
55	2	0.8691	15.29	0.32	2.72	1.05	0
55	3	0.3439	59.50	-27.42	2.75	1.10	0
56	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
56	1	0.9956	-32.00	-40.00	0.00	-0.00	0
56	2	0.8588	15.26	0.23	2.80	1.09	0
57	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
57	1	0.8850	14.68	0.11	2.79	1.07	0
57	2	0.3032	59.60	-27.52	2.61	1.06	0
58	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
58	1	0.8600	15.26	0.25	2.80	1.09	0
58	2	0.3274	60.56	-27.53	2.64	1.07	0
