step	score	x	y	w	h	class
0	0.0000					
1	0.6788	9.46	0.32	2.79	1.08	0
2	0.7756	9.54	0.30	2.79	1.08	0
3	0.7238	9.62	0.31	2.80	1.08	0
4	0.6588	9.86	0.31	2.85	1.09	0
5	0.6052	10.20	0.24	2.83	1.08	0
6	0.7494	10.50	0.18	2.81	1.07	0
7	0.7590	10.59	-0.12	2.82	1.08	0
8	0.7347	10.79	-0.17	2.82	1.08	0
9	0.7363	11.24	-0.20	2.82	1.09	0
10	0.8083	11.38	-0.13	2.82	1.09	0
11	0.8345	11.54	-0.18	2.81	1.08	0
12	0.7180	11.82	-0.21	2.74	1.06	0
13	0.7448	12.29	-0.26	2.75	1.07	0
14	0.8481	12.39	-0.18	2.80	1.08	0
15	0.8502	12.65	-0.24	2.79	1.06	0
16	0.8547	12.51	-0.23	2.80	1.08	0
17	0.8117	12.64	-0.15	2.80	1.08	0
18	0.8310	13.51	-0.35	2.74	1.06	0
19	0.8514	13.51	-0.30	2.77	1.07	0
20	0.8431	13.74	-0.46	2.77	1.07	0
21	0.8314	14.39	-0.66	2.76	1.07	0
22	0.8352	14.35	-0.66	2.77	1.07	0
23	0.7969	14.19	-0.78	2.78	1.07	0
24	0.8292	14.24	-0.78	2.77	1.07	0
25	0.8172	14.41	-0.90	2.78	1.07	0
26	0.8131	14.45	-1.18	2.81	1.08	0
27	0.8704	14.53	-1.24	2.76	1.07	0
28	0.8866	14.48	-1.64	2.77	1.07	0
29	0.8186	14.60	-1.92	2.79	1.08	0
30	0.8262	14.48	-2.42	2.79	1.08	0
31	0.8704	14.48	-2.23	2.78	1.08	0
32	0.8851	14.45	-2.40	2.77	1.07	0
33	0.8689	14.45	-2.50	2.79	1.07	0
34	0.8879	14.38	-2.68	2.78	1.07	0
35	0.8855	14.35	-2.73	2.79	1.08	0
36	0.8845	14.33	-2.78	2.79	1.08	0
37	0.8990	14.46	-2.71	2.81	1.08	0
38	0.8624	14.45	-2.86	2.82	1.09	0
39	0.8579	14.39	-3.25	2.77	1.06	0
40	0.8628	14.32	-3.31	2.76	1.05	0
41	0.8891	14.40	-3.40	2.81	1.08	0
42	0.8838	14.39	-3.55	2.76	1.05	0
43	0.8689	14.29	-3.72	2.76	1.06	0
44	0.7655	14.19	-4.15	2.81	1.09	0
45	0.8109	14.16	-4.31	2.80	1.08	0
46	0.7900	14.14	-4.64	2.75	1.05	0
47	0.7990	14.16	-4.80	2.81	1.09	0
48	0.7662	13.91	-5.10	2.80	1.09	0
49	0.8250	13.88	-5.41	2.82	1.10	0
50	0.8584	13.85	-5.56	2.83	1.10	0
51	0.8501	13.75	-5.87	2.79	1.08	0
52	0.8652	13.62	-6.12	2.77	1.09	0
53	0.8973	13.37	-6.38	2.80	1.08	0
54	0.8643	13.18	-6.74	2.81	1.08	0
55	0.8024	12.81	-6.88	2.80	1.08	0
56	0.8540	12.46	-7.34	2.83	1.09	0
57	0.8856	12.48	-7.51	2.77	1.08	0
58	0.8480	12.51	-7.78	2.76	1.08	0
59	0.0000					
60	0.0000					
61	0.0000					
62	0.0000					
63	0.0000					
64	0.0000					
65	0.0000					
66	0.0000					
67	0.0000					
68	0.0000					
69	0.0000					
70	0.0000					
71	0.0000					
72	0.0000					
73	0.0000					
74	0.0000					
75	0.0000					
76	0.0000					
77	0.0000					
78	0.0000					
79	0.0000					
80	0.0000					
81	0.0000					
82	0.0000					
83	0.0000					
84	0.0000					
85	0.0000					
86	0.0000					
87	0.0000					
88	0.0000					
89	0.0000					
90	0.0000					
91	0.0000					
92	0.0000					
93	0.0000					
94	0.0000					
95	0.0000					
96	0.0000					
97	0.0000					
98	0.0000					
99	0.0000					
100	0.0000					
101	0.0000					
102	0.0000					
103	0.0000					
104	0.0000					
105	0.0000					
106	0.0000					
107	0.0000					
108	0.0000					
109	0.0000					
110	0.0000					
111	0.0000					
112	0.0000					
113	0.0000					
114	0.0000					
115	0.0000					
116	0.0000					
117	0.0000					
118	0.0000					
119	0.0000					
120	0.0000					
121	0.0000					
122	0.0000					
123	0.0000					
124	0.0000					
125	0.0000					
126	0.0000					
127	0.0000					
128	0.0000					
129	0.0000					
130	0.0000					
131	0.0000					
132	0.0000					
133	0.0000					
134	0.0000					
135	0.0000					
136	0.0000					
137	0.0000					
138	0.0000					
139	0.0000					
140	0.0000					
141	0.0000					
142	0.0000					
143	0.0000					
144	0.0000					
145	0.0000					
146	0.0000					
147	0.0000					
148	0.0000					
149	0.0000					
150	0.0000					
151	0.0000					
152	0.0000					
153	0.0000					
154	0.0000					
155	0.0000					
156	0.0000					
157	0.0000					
158	0.0000					
159	0.0000					
160	0.0000					
161	0.0000					
162	0.0000					
163	0.0000					
164	0.0000					
165	0.0000					
166	0.0000					
167	0.0000					
168	0.0000					
169	0.0000					
170	0.0000					
171	0.0000					
172	0.0000					
173	0.0000					
174	0.0000					
175	0.0000					
176	0.0000					
177	0.0000					
178	0.0000					
179	0.0000					
180	0.0000					
181	0.0000					
182	0.0000					
183	0.0000					
184	0.0000					
185	0.0000					
186	0.0000					
187	0.0000					
188	0.0000					
189	0.0000					
190	0.0000					
191	0.0000					
192	0.0000					
193	0.0000					
194	0.0000					
195	0.0000					
196	0.0000					
197	0.0000					
198	0.0000					
199	0.0000					
200	0.0000					
201	0.0000					
202	0.0000					
203	0.0000					
204	0.0000					
205	0.0000					
206	0.0000					
207	0.0000					
208	0.0000					
209	0.0000					
210	0.0000					
211	0.0000					
212	0.0000					
213	0.0000					
214	0.0000					
215	0.0000					
216	0.0000					
217	0.0000					
218	0.0000					
219	0.0000					
220	0.0000					
221	0.0000					
