stem,conf_clean,cls_clean,conf_patched,cls_patched,leader_visible_clean,leader_visible_patched
000006,0.0,,0.0,,False,False
000009,0.32114356756210327,truck,0.0,,True,False
000012,0.0,,0.0,,False,False
000022,0.0,,0.0,,False,False
000024,0.42476314306259155,truck,0.0,,True,False
000025,0.712908148765564,car,0.7226526141166687,car,True,True
000038,0.0,,0.0,,False,False
000048,0.5128719806671143,bus,0.42810866236686707,bus,True,True
000050,0.7157939076423645,car,0.7203469276428223,car,True,True
000052,0.0,,0.0,,False,False
000053,0.4670288562774658,truck,0.0,,True,False
000072,0.5147907733917236,truck,0.0,,True,False
000073,0.3532482087612152,truck,0.0,,True,False
000077,0.2881573438644409,truck,0.0,,True,False
000087,0.0,,0.0,,False,False
000092,0.5554875135421753,bus,0.5818853378295898,bus,True,True
000099,0.7613357901573181,car,0.7213492393493652,car,True,True
000101,0.3193999230861664,truck,0.0,,True,False
000102,0.8416371941566467,car,0.8470412492752075,car,True,True
000105,0.6639865040779114,truck,0.0,,True,False
000107,0.3584813177585602,truck,0.2818383574485779,bus,True,True
000110,0.45540651679039,truck,0.3068549633026123,truck,True,True
000113,0.441937118768692,truck,0.0,,True,False
000114,0.749829113483429,car,0.0,,True,False
000116,0.32020172476768494,truck,0.0,,True,False
000117,0.4819793105125427,car,0.5524107217788696,bus,True,True
000118,0.6811586618423462,bus,0.7130237221717834,bus,True,True
000121,0.48542314767837524,truck,0.0,,True,False
000124,0.3431011736392975,truck,0.39369821548461914,truck,True,True
000136,0.0,,0.0,,False,False
000139,0.0,,0.0,,False,False
000155,0.3705503046512604,truck,0.0,,True,False
000156,0.4022568166255951,bus,0.0,,True,False
000158,0.7428123354911804,truck,0.7457382678985596,truck,True,True
000166,0.7643430233001709,car,0.76202392578125,car,True,True
000167,0.6683099269866943,truck,0.4870455861091614,truck,True,True
000183,0.5031711459159851,truck,0.2718874514102936,bus,True,True
000193,0.0,,0.0,,False,False
000195,0.0,,0.0,,False,False
000198,0.6779058575630188,truck,0.5001051425933838,truck,True,True
000201,0.6920848488807678,truck,0.4150557816028595,bus,True,True
000203,0.6475686430931091,bus,0.48946940898895264,truck,True,True
000204,0.0,,0.0,,False,False
000209,0.5394092798233032,truck,0.0,,True,False
000218,0.867155134677887,truck,0.7118308544158936,truck,True,True
000222,0.0,,0.0,,False,False
000225,0.5945797562599182,truck,0.5952954292297363,car,True,True
