step	idx	score	x	y	w	h	class
58	0	0.9902	-32.00	-39.99	0.01	0.01	0
59	0	0.9885	-32.00	-40.00	0.01	0.00	0
59	1	0.9724	-32.00	-40.00	0.00	0.00	0
60	0	0.9865	-32.00	-40.00	0.01	0.00	0
61	0	0.9875	-32.00	-39.99	0.01	0.01	0
62	0	0.9889	-32.00	-39.99	0.01	0.01	0
62	1	0.9750	-32.00	-40.00	0.00	0.00	0
63	0	0.9885	-32.00	-39.99	0.01	0.01	0
63	1	0.9740	-32.00	-40.00	0.00	0.00	0
64	0	0.9891	-32.00	-39.99	0.01	0.01	0
64	1	0.9731	-32.00	-40.00	0.00	0.00	0
65	0	0.9889	-32.00	-40.00	0.01	0.01	0
65	1	0.9706	-32.00	-40.00	0.00	0.00	0
66	0	0.9913	-32.00	-40.00	0.01	0.01	0
67	0	0.9910	-32.00	-40.00	0.01	0.01	0
68	0	0.9914	-32.00	-40.00	0.00	0.01	0
69	0	0.9918	-32.00	-40.00	0.00	0.00	0
69	1	0.9746	-32.00	-40.00	0.00	0.00	0
70	0	0.9909	-32.00	-40.00	0.00	0.00	0
70	1	0.9662	-32.00	-40.00	0.01	0.01	0
71	0	0.9919	-32.00	-40.00	0.00	0.00	0
71	1	0.9641	-32.00	-40.00	0.01	0.01	0
72	0	0.9913	-32.00	-40.00	0.00	0.00	0
72	1	0.9658	-31.99	-39.99	0.01	0.01	0
73	0	0.9919	-32.00	-40.00	0.00	0.00	0
73	1	0.9538	-31.99	-39.99	0.01	0.01	0
74	0	0.9905	-32.00	-40.00	0.00	0.00	0
74	1	0.9538	-31.99	-39.99	0.01	0.01	0
75	0	0.9900	-32.00	-40.00	0.00	0.00	0
75	1	0.9496	-31.99	-39.99	0.01	0.01	0
76	0	0.9871	-32.00	-40.00	0.00	0.00	0
76	1	0.9631	-32.00	-40.00	-0.00	0.00	0
76	2	0.9586	-32.00	-40.00	0.01	0.01	0
77	0	0.9888	-32.00	-40.00	0.01	0.01	0
77	1	0.9691	-32.00	-40.00	0.00	0.00	0
78	0	0.9887	-32.00	-40.00	0.01	0.01	0
