step	idx	score	x	y	w	h	class
1	0	0.9869	-32.00	-40.00	0.00	0.00	0
1	1	0.9726	-32.00	-40.00	0.00	0.00	0
1	2	0.9701	-32.00	-40.00	-0.00	0.00	0
2	0	0.9845	-32.00	-40.00	0.00	0.00	0
2	1	0.9713	-32.00	-40.00	0.00	0.00	0
2	2	0.9705	-32.00	-40.00	-0.00	0.00	0
3	0	0.9838	-32.00	-40.00	0.00	0.00	0
3	1	0.9758	-32.00	-40.00	-0.00	-0.00	0
3	2	0.9707	-32.00	-40.00	0.00	0.00	0
4	0	0.9812	-32.00	-40.00	0.00	0.00	0
4	1	0.9708	-32.00	-40.00	-0.00	0.00	0
5	0	0.9823	-32.00	-40.00	0.00	0.00	0
5	1	0.9698	-32.00	-40.00	-0.00	0.00	0
6	0	0.9824	-32.00	-40.00	0.00	0.00	0
6	1	0.9694	-32.00	-40.00	-0.00	0.00	0
7	0	0.9819	-32.00	-40.00	0.00	0.00	0
7	1	0.9662	-32.00	-40.00	-0.00	0.00	0
8	0	0.9822	-32.00	-40.00	0.00	0.00	0
8	1	0.9639	-32.00	-40.00	-0.00	0.00	0
9	0	0.9838	-32.00	-40.00	0.00	0.00	0
9	1	0.9663	-32.00	-40.00	-0.00	0.00	0
10	0	0.9837	-32.00	-40.00	0.00	0.00	0
10	1	0.9683	-32.00	-40.00	0.00	0.00	0
11	0	0.9843	-32.00	-40.00	0.00	0.00	0
11	1	0.9648	-32.00	-40.00	-0.00	0.00	0
12	0	0.9851	-32.00	-40.00	0.00	0.00	0
12	1	0.9610	-32.00	-40.00	-0.00	0.00	0
13	0	0.9834	-32.00	-40.00	0.00	0.00	0
13	1	0.9662	-32.00	-40.00	0.00	0.00	0
14	0	0.9831	-32.00	-40.00	0.00	0.00	0
14	1	0.9676	-32.00	-40.00	0.00	0.00	0
15	0	0.9828	-32.00	-40.00	0.00	0.00	0
15	1	0.9604	-32.00	-40.00	-0.00	0.00	0
16	0	0.9837	-32.00	-40.00	0.00	0.00	0
16	1	0.9596	-32.00	-40.00	-0.00	0.00	0
17	0	0.9828	-32.00	-40.00	0.00	0.00	0
17	1	0.9602	-32.00	-40.00	-0.00	0.00	0
18	0	0.9836	-32.00	-40.00	0.00	0.00	0
18	1	0.9589	-32.00	-40.00	-0.00	0.00	0
19	0	0.9840	-32.00	-40.00	0.00	0.00	0
19	1	0.9588	-32.00	-40.00	-0.00	0.00	0
20	0	0.9834	-32.00	-40.00	0.00	0.00	0
20	1	0.9559	-32.00	-40.00	-0.00	0.00	0
21	0	0.9828	-32.00	-40.00	0.00	0.00	0
21	1	0.9575	-32.00	-40.00	-0.00	0.00	0
22	0	0.9822	-32.00	-40.00	0.00	0.00	0
22	1	0.9568	-32.00	-40.00	-0.00	0.00	0
23	0	0.9821	-32.00	-40.00	0.00	0.00	0
23	1	0.9542	-32.00	-40.00	0.00	0.00	0
24	0	0.9824	-32.00	-40.00	0.00	0.00	0
24	1	0.9542	-32.00	-40.00	-0.00	0.00	0
25	0	0.9807	-32.00	-40.00	0.00	0.00	0
25	1	0.9558	-32.00	-40.00	0.00	0.00	0
26	0	0.9815	-32.00	-40.00	0.00	0.00	0
26	1	0.9542	-32.00	-40.00	-0.00	0.00	0
27	0	0.9815	-32.00	-40.00	0.00	0.00	0
27	1	0.9545	-32.00	-40.00	-0.00	0.00	0
28	0	0.9810	-32.00	-40.00	0.00	0.00	0
28	1	0.9536	-32.00	-40.00	0.00	0.00	0
29	0	0.9810	-32.00	-40.00	0.00	0.00	0
29	1	0.9536	-32.00	-40.00	0.00	0.00	0
30	0	0.9810	-32.00	-40.00	0.00	0.00	0
30	1	0.9516	-32.00	-40.00	0.00	0.00	0
31	0	0.9815	-32.00	-40.00	0.00	0.00	0
31	1	0.9521	-32.00	-40.00	0.00	0.00	0
32	0	0.9815	-32.00	-40.00	0.00	0.00	0
32	1	0.9509	-32.00	-40.00	0.00	0.00	0
33	0	0.9818	-32.00	-40.00	0.00	0.00	0
33	1	0.9503	-32.00	-40.00	0.00	0.00	0
34	0	0.9816	-32.00	-40.00	0.00	0.00	0
34	1	0.9498	-32.00	-40.00	-0.00	0.00	0
35	0	0.9813	-32.00	-40.00	0.00	0.00	0
35	1	0.9478	-32.00	-40.00	0.00	0.00	0
36	0	0.9813	-32.00	-40.00	0.00	0.00	0
36	1	0.9478	-32.00	-40.00	0.00	0.00	0
37	0	0.9819	-32.00	-40.00	0.00	0.00	0
37	1	0.9465	-32.00	-40.00	0.00	0.00	0
38	0	0.9812	-32.00	-40.00	0.00	0.00	0
38	1	0.9460	-32.00	-40.00	0.00	0.00	0
39	0	0.9812	-32.00	-40.00	0.00	0.00	0
39	1	0.9446	-32.00	-40.00	0.00	0.00	0
40	0	0.9821	-32.00	-40.00	0.00	0.00	0
40	1	0.9495	-32.00	-40.00	0.00	0.00	0
41	0	0.9815	-31.99	-39.99	0.00	0.00	0
41	1	0.9652	-32.00	-40.00	0.00	0.00	0
41	2	0.9500	-32.00	-40.00	-0.00	0.00	0
42	0	0.9823	-32.00	-39.99	0.00	0.00	0
42	1	0.9656	-32.00	-40.00	0.00	0.00	0
42	2	0.9531	-32.00	-40.00	-0.00	0.00	0
43	0	0.9837	-32.00	-40.00	0.00	0.00	0
43	1	0.9540	-32.00	-40.00	-0.00	0.00	0
44	0	0.9827	-32.00	-40.00	0.00	0.00	0
44	1	0.9532	-32.00	-40.00	-0.00	0.00	0
45	0	0.9847	-32.00	-40.00	0.00	0.00	0
45	1	0.9561	-32.00	-40.00	-0.00	0.00	0
46	0	0.9847	-32.00	-40.00	0.00	0.00	0
46	1	0.9734	-32.00	-40.00	0.01	0.01	0
46	2	0.9608	-32.00	-40.00	-0.00	0.00	0
47	0	0.9863	-32.00	-40.00	0.00	0.00	0
47	1	0.9589	-32.00	-40.00	-0.00	0.00	0
48	0	0.9864	-32.00	-40.00	0.00	0.00	0
48	1	0.9590	-32.00	-40.00	0.00	0.00	0
49	0	0.9850	-32.00	-40.00	0.00	0.00	0
49	1	0.9632	-32.00	-40.00	-0.00	0.00	0
50	0	0.9809	-32.00	-40.00	0.01	0.00	0
50	1	0.9623	-32.00	-40.00	-0.00	-0.00	0
51	0	0.9816	-32.00	-40.00	0.00	0.00	0
51	1	0.9651	-32.00	-40.00	-0.00	-0.00	0
52	0	0.9841	-32.00	-40.00	0.00	0.00	0
52	1	0.9640	-32.00	-40.00	-0.00	-0.00	0
53	0	0.9852	-32.00	-40.00	0.00	0.00	0
