step	idx	score	x	y	w	h	class
45	1	0.9949	-32.00	-40.00	-0.01	-0.00	0
46	0	0.9958	-32.00	-40.00	0.00	0.00	0
46	1	0.9908	-32.00	-40.00	0.00	0.00	0
47	0	0.9955	-32.00	-40.00	0.00	0.00	0
47	1	0.9912	-32.00	-40.00	0.00	0.00	0
48	0	0.9958	-32.00	-40.00	0.00	0.00	0
48	1	0.9912	-32.00	-40.00	0.00	0.00	0
49	0	0.9956	-32.00	-40.00	0.00	0.00	0
50	0	0.9956	-32.00	-40.00	0.00	0.00	0
51	0	0.9954	-32.00	-40.00	0.00	0.00	0
52	0	0.9954	-32.00	-40.00	0.00	0.00	0
53	0	0.9952	-32.00	-40.00	0.00	0.00	0
54	0	0.9948	-32.00	-40.00	0.00	0.00	0
54	1	0.9946	-32.00	-40.00	-0.00	-0.00	0
55	0	0.9951	-32.00	-40.00	0.00	0.00	0
56	0	0.9953	-32.00	-40.00	0.00	0.00	0
56	1	0.9945	-32.00	-40.00	-0.01	-0.00	0
57	0	0.9951	-32.00	-40.00	0.00	0.00	0
58	0	0.9951	-32.00	-40.00	0.00	0.00	0
59	0	0.9946	-32.00	-40.00	0.00	0.00	0
60	0	0.9943	-32.00	-40.00	0.00	0.00	0
61	0	0.9941	-32.00	-40.00	0.00	0.00	0
62	0	0.9948	-32.00	-40.00	0.00	0.00	0
63	0	0.9941	-32.00	-40.00	0.00	0.00	0
64	0	0.9933	-32.00	-40.00	-0.00	-0.00	0
64	1	0.9932	-32.00	-40.00	0.00	0.00	0
65	0	0.9935	-32.00	-40.00	0.00	0.00	0
65	1	0.9935	-32.00	-40.00	0.00	0.00	0
66	0	0.9940	-32.00	-40.00	0.00	0.00	0
66	1	0.9939	-32.00	-40.00	0.00	0.00	0
67	0	0.9944	-32.00	-40.00	-0.00	-0.00	0
67	1	0.9941	-32.00	-40.00	0.00	0.00	0
67	2	0.9932	-32.00	-40.00	0.00	0.00	0
68	0	0.9940	-32.00	-40.00	0.00	0.00	0
68	1	0.9933	-32.00	-40.00	0.00	0.00	0
69	0	0.9933	-32.00	-40.00	-0.00	-0.00	0
69	1	0.9931	-32.00	-40.00	0.00	-0.00	0
70	0	0.9933	-32.00	-40.00	-0.00	-0.00	0
70	1	0.9921	-32.00	-40.00	0.00	0.00	0
71	0	0.9931	-32.00	-40.00	0.00	0.00	0
71	1	0.9911	-32.00	-40.00	0.00	0.00	0
72	0	0.9923	-32.00	-40.00	-0.00	-0.00	0
72	1	0.9918	-32.00	-40.00	0.00	0.00	0
73	0	0.9926	-32.00	-40.00	-0.00	-0.00	0
73	1	0.9906	-32.00	-40.00	0.00	0.00	0
74	0	0.9927	-32.00	-40.00	0.00	0.00	0
74	1	0.9907	-32.00	-40.00	-0.00	-0.00	0
75	0	0.9940	-32.00	-40.00	0.00	0.00	0
75	1	0.9910	-32.00	-40.00	-0.00	0.00	0
76	0	0.9933	-32.00	-40.00	0.00	0.00	0
76	1	0.9919	-32.00	-40.00	-0.00	-0.00	0
77	0	0.9919	-32.00	-40.00	0.00	0.00	0
77	1	0.9909	-32.00	-40.00	0.00	0.00	0
78	0	0.9934	-32.00	-40.00	0.00	0.00	0
78	1	0.9910	-32.00	-40.00	0.00	0.00	0
78	2	0.9904	-32.00	-40.00	-0.00	-0.00	0
79	0	0.9930	-32.00	-40.00	0.00	0.00	0
79	1	0.9925	-32.00	-40.00	0.00	0.00	0
79	2	0.9901	-32.00	-40.00	-0.00	0.00	0
80	0	0.9933	-32.00	-40.00	0.00	0.00	0
80	1	0.9914	-32.00	-40.00	0.00	0.00	0
80	2	0.9898	-32.00	-40.00	-0.00	0.00	0
81	0	0.9930	-32.00	-40.00	0.00	0.00	0
81	1	0.9906	-32.00	-40.00	0.00	0.00	0
82	0	0.9925	-32.00	-40.00	0.00	0.00	0
82	1	0.9914	-32.00	-40.00	0.00	0.00	0
82	2	0.9908	-32.00	-40.00	-0.00	-0.00	0
83	0	0.9918	-32.00	-40.00	0.00	0.00	0
83	1	0.9910	-32.00	-40.00	0.00	0.00	0
83	2	0.9894	-32.00	-40.00	-0.00	0.00	0
84	0	0.9927	-32.00	-40.00	0.00	0.00	0
84	1	0.9907	-32.00	-40.00	0.00	0.00	0
84	2	0.9904	-32.00	-40.00	-0.00	-0.00	0
85	0	0.9936	-32.00	-40.00	0.00	0.00	0
85	1	0.9888	-32.00	-40.00	-0.00	0.00	0
86	0	0.9925	-32.00	-40.00	0.00	0.00	0
86	1	0.9887	-32.00	-40.00	-0.00	0.00	0
87	0	0.9940	-32.00	-40.00	0.00	0.00	0
