step	score	x	y	w	h	class
127	0.8489	16.26	0.17	2.82	1.10	0
128	0.8783	16.39	0.15	2.83	1.10	0
129	0.8873	16.54	0.09	2.85	1.11	0
130	0.8883	16.43	0.11	2.84	1.10	0
131	0.8835	16.50	0.08	2.84	1.10	0
132	0.8816	16.38	0.10	2.76	1.07	0
133	0.8949	16.45	0.10	2.75	1.06	0
134	0.8473	16.25	0.10	2.82	1.09	0
135	0.8917	16.51	0.12	2.83	1.10	0
136	0.8737	16.61	0.17	2.76	1.07	0
137	0.8846	16.47	0.17	2.76	1.07	0
138	0.8819	16.45	0.19	2.76	1.07	0
139	0.8752	16.52	0.10	2.82	1.09	0
140	0.8726	16.70	0.16	2.75	1.06	0
141	0.8432	16.69	0.15	2.81	1.09	0
142	0.8606	16.59	0.16	2.82	1.09	0
143	0.8100	16.81	0.17	2.76	1.07	0
144	0.8138	17.19	0.13	2.83	1.10	0
145	0.8096	16.74	0.10	2.81	1.09	0
146	0.8315	17.21	0.16	2.83	1.10	0
147	0.8556	17.27	0.16	2.81	1.09	0
148	0.8951	17.56	0.15	2.82	1.10	0
149	0.8900	17.44	0.13	2.82	1.10	0
150	0.8873	17.48	0.13	2.83	1.10	0
151	0.8936	17.50	0.12	2.83	1.10	0
152	0.8822	17.38	0.14	2.83	1.10	0
153	0.8228	17.17	0.18	2.82	1.10	0
154	0.8902	17.37	0.19	2.82	1.10	0
155	0.8780	17.56	0.21	2.82	1.09	0
156	0.8675	17.70	0.17	2.76	1.06	0
157	0.8893	17.53	0.17	2.75	1.06	0
158	0.8903	17.52	0.11	2.81	1.09	0
159	0.8979	17.55	0.09	2.82	1.09	0
160	0.8631	17.77	0.08	2.82	1.09	0
161	0.8984	17.71	0.10	2.82	1.09	0
162	0.8392	17.78	0.13	2.82	1.09	0
163	0.8574	17.76	0.13	2.82	1.09	0
164	0.8849	17.60	0.16	2.82	1.09	0
165	0.8130	17.80	0.16	2.82	1.09	0
166	0.7849	18.17	0.12	2.76	1.06	0
167	0.8133	17.80	0.15	2.81	1.09	0
168	0.7880	18.17	0.13	2.77	1.07	0
169	0.8136	18.15	0.13	2.81	1.09	0
170	0.7887	17.82	0.17	2.79	1.08	0
171	0.8911	18.31	0.14	2.82	1.10	0
172	0.8889	18.25	0.11	2.81	1.09	0
173	0.8920	18.34	0.11	2.81	1.09	0
174	0.8905	18.41	0.11	2.81	1.09	0
175	0.8781	18.39	0.11	2.82	1.09	0
176	0.8723	18.44	0.08	2.76	1.06	0
177	0.8096	18.27	0.09	2.76	1.06	0
178	0.8351	18.29	0.11	2.82	1.10	0
179	0.8657	18.54	0.09	2.75	1.06	0
180	0.8638	18.32	0.10	2.82	1.10	0
181	0.7918	18.79	0.09	2.84	1.10	0
182	0.8626	18.67	0.08	2.76	1.07	0
183	0.8673	18.66	0.10	2.82	1.09	0
184	0.8485	18.77	0.14	2.84	1.10	0
185	0.7847	19.19	0.14	2.78	1.07	0
186	0.8230	18.80	0.20	2.84	1.10	0
187	0.8057	19.19	0.19	2.77	1.07	0
188	0.8589	19.32	0.18	2.78	1.07	0
189	0.8742	19.52	0.17	2.78	1.07	0
190	0.8760	19.42	0.13	2.77	1.07	0
191	0.8755	19.38	0.10	2.77	1.07	0
192	0.7824	19.14	0.11	2.76	1.06	0
193	0.8101	18.85	0.10	2.77	1.07	0
194	0.8608	19.30	0.18	2.81	1.09	0
195	0.8746	19.35	0.14	2.77	1.06	0
196	0.8854	19.64	0.12	2.77	1.07	0
197	0.8952	19.43	0.11	2.77	1.07	0
198	0.8694	19.28	0.11	2.77	1.07	0
