tick,sim_time_s,phase,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,cruise,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1940.438,0
1,0.05,cruise,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0
2,0.1,cruise,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
3,0.15,cruise,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0
4,0.2,cruise,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0
5,0.25,cruise,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0
6,0.3,cruise,581.632,-24.101,19.73,592.98,-24.018,0.62,11.348,-1,0
7,0.35,cruise,581.353,-24.104,20.44,592.979,-24.018,0.51,11.627,-1,0
8,0.4,cruise,581.061,-24.106,21.36,592.979,-24.018,0.39,11.918,-1,0
9,0.45,cruise,580.758,-24.108,22.17,592.979,-24.018,0.29,12.221,-1,0
10,0.5,cruise,580.442,-24.11,23.18,592.979,-24.018,0.21,12.538,-1,0
11,0.55,cruise,580.112,-24.113,24.06,592.979,-24.018,0.15,12.867,-1,0
12,0.6,cruise,579.77,-24.115,25.1,592.979,-24.018,0.1,13.21,-1,0
13,0.65,cruise,579.413,-24.118,26.0,592.972,-24.018,1.33,13.559,-1,0
14,0.7,cruise,579.044,-24.12,27.06,592.928,-24.019,4.37,13.885,-1,0
15,0.75,cruise,578.66,-24.123,27.98,592.849,-24.019,6.62,14.189,-1,0
16,0.8,cruise,578.263,-24.126,29.04,592.742,-24.02,8.25,14.48,-1,0
17,0.85,cruise,577.852,-24.129,29.95,592.617,-24.021,9.47,14.766,-1,0
18,0.9,cruise,577.427,-24.132,31.01,592.481,-24.022,9.96,15.054,-1,0
19,0.95,cruise,576.989,-24.135,31.92,592.34,-24.023,10.2,15.352,-1,0
20,1.0,cruise,576.536,-24.139,32.96,592.196,-24.024,10.52,15.66,-1,0
21,1.05,cruise,576.071,-24.142,33.88,592.046,-24.025,11.04,15.976,-1,0
22,1.1,cruise,575.592,-24.146,34.92,591.887,-24.026,11.75,16.296,-1,0
23,1.15,cruise,575.099,-24.149,35.85,591.716,-24.028,12.67,16.618,-1,0
24,1.2,cruise,574.592,-24.153,36.9,591.532,-24.029,13.64,16.94,-1,0
25,1.25,cruise,574.072,-24.157,37.87,591.335,-24.03,14.62,17.263,-1,0
26,1.3,cruise,573.538,-24.161,38.84,591.123,-24.032,15.6,17.586,-1,0
27,1.35,cruise,572.993,-24.165,39.46,590.899,-24.034,16.57,17.907,-1,0
28,1.4,cruise,572.442,-24.169,39.76,590.66,-24.035,17.54,18.219,-1,0
29,1.45,cruise,571.89,-24.173,39.66,590.409,-24.037,18.51,18.519,-1,0
30,1.5,cruise,571.341,-24.177,39.45,590.144,-24.039,19.34,18.804,-1,0
31,1.55,cruise,570.796,-24.181,39.05,589.875,-24.041,19.49,19.079,-1,0
32,1.6,cruise,570.257,-24.185,38.72,589.602,-24.043,19.77,19.346,-1,0
33,1.65,cruise,569.722,-24.189,38.36,589.323,-24.045,20.41,19.601,-1,0
34,1.7,cruise,569.191,-24.193,38.18,589.034,-24.047,21.03,19.843,-1,0
35,1.75,cruise,568.662,-24.196,38.02,588.734,-24.05,21.92,20.073,-1,0
36,1.8,cruise,568.134,-24.2,38.07,588.423,-24.052,22.71,20.29,-1,0
37,1.85,cruise,567.605,-24.204,38.13,588.1,-24.054,23.71,20.495,-1,0
38,1.9,cruise,567.074,-24.208,38.32,587.763,-24.057,24.59,20.69,-1,0
39,1.95,cruise,566.541,-24.212,38.44,587.413,-24.059,25.63,20.873,-1,0
40,2.0,cruise,566.005,-24.216,38.63,587.049,-24.062,26.54,21.045,-1,0
41,2.05,cruise,565.468,-24.22,38.69,586.672,-24.065,27.6,21.204,-1,0
42,2.1,cruise,564.93,-24.224,38.77,586.281,-24.067,28.52,21.351,-1,0
43,2.15,cruise,564.392,-24.228,38.73,585.876,-24.07,29.58,21.485,-1,0
44,2.2,cruise,563.854,-24.232,38.73,585.458,-24.073,30.49,21.604,-1,0
45,2.25,cruise,563.317,-24.236,38.63,585.025,-24.077,31.55,21.709,-1,0
46,2.3,cruise,562.781,-24.24,38.6,584.579,-24.08,32.47,21.8,-1,0
47,2.35,cruise,562.245,-24.244,38.5,584.12,-24.083,33.51,21.875,-1,0
48,2.4,cruise,561.711,-24.248,38.5,583.647,-24.087,34.43,21.937,-1,0
49,2.45,cruise,561.176,-24.252,38.44,583.16,-24.09,35.47,21.984,-1,0
50,2.5,cruise,560.642,-24.256,38.48,582.66,-24.094,36.41,22.018,-1,0
51,2.55,cruise,560.108,-24.26,38.45,582.146,-24.098,37.4,22.038,-1,0
52,2.6,cruise,559.574,-24.264,38.52,581.62,-24.101,38.04,22.047,-1,0
53,2.65,cruise,559.039,-24.268,38.51,581.089,-24.105,38.35,22.051,-1,0
54,2.7,cruise,558.503,-24.271,38.57,580.557,-24.109,38.27,22.054,-1,0
55,2.75,cruise,557.968,-24.275,38.55,580.027,-24.113,38.07,22.06,-1,0
56,2.8,cruise,557.432,-24.279,38.6,579.502,-24.117,37.68,22.07,-1,0
57,2.85,cruise,556.896,-24.283,38.56,578.981,-24.121,37.36,22.085,-1,0
58,2.9,cruise,556.36,-24.287,38.59,578.465,-24.124,37.0,22.105,-1,0
59,2.95,cruise,555.825,-24.291,38.54,577.953,-24.128,36.83,22.129,-1,0
60,3.0,cruise,555.289,-24.295,38.57,577.443,-24.132,36.67,22.154,-1,0
61,3.05,cruise,554.754,-24.298,38.52,576.933,-24.136,36.72,22.18,-1,0
62,3.1,cruise,554.219,-24.302,38.55,576.423,-24.139,36.76,22.205,-1,0
63,3.15,cruise,553.684,-24.305,38.51,575.911,-24.143,36.95,22.228,-1,0
64,3.2,cruise,553.149,-24.308,38.55,575.397,-24.147,37.06,22.249,-1,0
65,3.25,cruise,552.614,-24.311,38.51,574.88,-24.151,37.24,22.267,-1,0
66,3.3,cruise,552.079,-24.314,38.55,574.363,-24.154,37.29,22.285,-1,0
67,3.35,cruise,551.543,-24.317,38.52,573.844,-24.158,37.38,22.301,-1,0
68,3.4,cruise,551.008,-24.32,38.56,573.325,-24.162,37.33,22.318,-1,0
69,3.45,cruise,550.473,-24.323,38.53,572.807,-24.166,37.33,22.335,-1,0
70,3.5,cruise,549.937,-24.326,38.57,572.289,-24.17,37.23,22.353,-1,0
71,3.55,cruise,549.402,-24.329,38.53,571.772,-24.173,37.22,22.371,-1,0
72,3.6,cruise,548.866,-24.331,38.57,571.256,-24.177,37.12,22.39,-1,0
73,3.65,cruise,548.331,-24.333,38.53,570.741,-24.181,37.13,22.41,-1,0
74,3.7,cruise,547.796,-24.335,38.56,570.226,-24.185,37.07,22.43,-1,0
75,3.75,cruise,547.26,-24.337,38.52,569.71,-24.189,37.11,22.45,-1,0
76,3.8,cruise,546.725,-24.339,38.56,569.195,-24.192,37.08,22.471,-1,0
77,3.85,cruise,546.19,-24.341,38.52,568.68,-24.196,37.15,22.49,-1,0
78,3.9,cruise,545.655,-24.343,38.56,568.164,-24.2,37.13,22.51,-1,0
79,3.95,cruise,545.119,-24.345,38.52,567.648,-24.204,37.19,22.529,-1,0
80,4.0,cruise,544.584,-24.346,38.56,567.131,-24.208,37.16,22.548,-1,0
81,4.05,cruise,544.049,-24.348,38.52,566.615,-24.211,37.21,22.566,-1,0
82,4.1,cruise,543.514,-24.35,38.56,566.098,-24.215,37.17,22.585,-1,0
83,4.15,cruise,542.978,-24.351,38.52,565.582,-24.219,37.21,22.604,-1,0
84,4.2,cruise,542.443,-24.353,38.56,565.065,-24.223,37.15,22.623,-1,0
85,4.25,cruise,541.908,-24.354,38.52,564.549,-24.226,37.19,22.642,-1,0
86,4.3,cruise,541.373,-24.356,38.56,564.033,-24.23,37.14,22.661,-1,0
87,4.35,cruise,540.837,-24.357,38.52,563.517,-24.234,37.18,22.68,-1,0
88,4.4,cruise,540.302,-24.358,38.56,563.001,-24.238,37.13,22.699,-1,0
89,4.45,cruise,539.767,-24.36,38.52,562.485,-24.241,37.17,22.719,-1,0
90,4.5,cruise,539.232,-24.361,38.56,561.969,-24.245,37.13,22.738,-1,0
91,4.55,cruise,538.696,-24.362,38.52,561.453,-24.249,37.18,22.757,-1,0
92,4.6,cruise,538.161,-24.363,38.56,560.937,-24.253,37.14,22.776,-1,0
93,4.65,cruise,537.626,-24.365,38.52,560.421,-24.256,37.19,22.795,-1,0
94,4.7,cruise,537.091,-24.366,38.56,559.905,-24.26,37.14,22.815,-1,0
95,4.75,cruise,536.555,-24.367,38.52,559.389,-24.264,37.19,22.834,-1,0
96,4.8,cruise,536.02,-24.368,38.56,558.872,-24.268,37.14,22.853,-1,0
97,4.85,cruise,535.485,-24.369,38.52,558.356,-24.271,37.19,22.872,-1,0
98,4.9,cruise,534.95,-24.371,38.56,557.84,-24.275,37.14,22.891,-1,0
99,4.95,cruise,534.414,-24.372,38.52,557.324,-24.279,37.19,22.91,-1,0
100,5.0,cruise,533.879,-24.373,38.56,556.808,-24.283,37.14,22.929,-1,0
101,5.05,cruise,533.344,-24.374,38.52,556.292,-24.287,37.18,22.948,-1,0
102,5.1,cruise,532.809,-24.375,38.56,555.776,-24.29,37.18,22.967,-1,0
103,5.15,cruise,532.273,-24.376,38.52,555.258,-24.294,37.36,22.985,-1,0
104,5.2,cruise,531.738,-24.378,38.56,554.738,-24.297,37.4,23.0,-1,0
105,5.25,cruise,531.203,-24.379,38.52,554.218,-24.3,37.46,23.016,-1,0
106,5.3,cruise,530.667,-24.38,38.56,553.699,-24.304,37.38,23.031,-1,0
107,5.35,cruise,530.132,-24.381,38.52,553.18,-24.307,37.35,23.048,-1,0
108,5.4,cruise,529.597,-24.382,38.56,552.662,-24.31,37.21,23.065,-1,0
109,5.45,cruise,529.062,-24.383,38.52,552.146,-24.313,37.17,23.084,-1,0
110,5.5,cruise,528.526,-24.385,38.56,551.63,-24.316,37.07,23.104,-1,0
111,5.55,cruise,527.991,-24.386,38.52,551.116,-24.319,37.07,23.124,-1,0
112,5.6,cruise,527.456,-24.387,38.56,550.601,-24.322,37.06,23.145,-1,0
113,5.65,cruise,526.921,-24.388,38.52,550.084,-24.324,37.33,23.164,-1,0
114,5.7,cruise,526.385,-24.389,38.56,549.563,-24.327,37.65,23.178,-1,0
115,5.75,cruise,525.85,-24.391,38.52,549.038,-24.329,37.91,23.188,-1,0
116,5.8,cruise,525.315,-24.392,38.56,548.511,-24.331,37.9,23.196,-1,0
117,5.85,cruise,524.78,-24.393,38.52,547.985,-24.334,37.82,23.206,-1,0
118,5.9,cruise,524.244,-24.394,38.56,547.462,-24.336,37.6,23.218,-1,0
119,5.95,cruise,523.709,-24.395,38.52,546.94,-24.338,37.57,23.231,-1,0
120,6.0,cruise,523.174,-24.396,38.56,546.418,-24.34,37.64,23.244,-1,0
121,6.05,cruise,522.639,-24.397,38.52,545.893,-24.342,37.95,23.254,-1,0
122,6.1,cruise,522.103,-24.399,38.56,545.364,-24.343,38.2,23.26,-1,0
123,6.15,cruise,521.568,-24.4,38.52,544.832,-24.345,38.32,23.264,-1,0
124,6.2,cruise,521.033,-24.401,38.56,544.301,-24.347,38.12,23.268,-1,0
125,6.25,cruise,520.498,-24.402,38.52,543.774,-24.348,37.86,23.276,-1,0
126,6.3,cruise,519.962,-24.403,38.56,543.251,-24.35,37.46,23.289,-1,0
127,6.35,cruise,519.427,-24.404,38.52,542.734,-24.351,37.17,23.306,-1,0
128,6.4,cruise,518.892,-24.406,38.56,542.219,-24.353,36.94,23.328,-1,0
129,6.45,cruise,518.357,-24.407,38.52,541.706,-24.354,37.07,23.349,-1,0
130,6.5,cruise,517.821,-24.408,38.56,541.189,-24.356,37.34,23.367,-1,0
131,6.55,cruise,517.286,-24.409,38.52,540.666,-24.357,37.88,23.38,-1,0
132,6.6,cruise,516.751,-24.41,38.56,540.135,-24.358,38.35,23.385,-1,0
133,6.65,cruise,516.216,-24.412,38.52,539.6,-24.36,38.63,23.384,747.222,0
134,6.7,cruise,515.68,-24.413,38.56,539.064,-24.361,38.49,23.384,-1,0
135,6.75,cruise,515.145,-24.414,38.52,538.532,-24.363,38.23,23.387,-1,0
136,6.8,cruise,514.61,-24.415,38.56,538.005,-24.364,37.75,23.395,-1,0
137,6.85,cruise,514.075,-24.416,38.52,537.484,-24.365,37.35,23.409,-1,0
138,6.9,cruise,513.539,-24.418,38.56,536.968,-24.366,36.99,23.429,-1,0
139,6.95,cruise,513.004,-24.419,38.52,536.455,-24.368,36.97,23.451,-1,0
140,7.0,cruise,512.469,-24.42,38.56,535.94,-24.369,37.12,23.472,-1,0
141,7.05,cruise,511.934,-24.421,38.52,535.421,-24.37,37.58,23.488,-1,0
142,7.1,cruise,511.398,-24.422,38.56,534.895,-24.371,38.08,23.497,-1,0
143,7.15,cruise,510.863,-24.423,38.52,534.361,-24.373,38.62,23.498,893.314,0
144,7.2,cruise,510.328,-24.425,38.56,533.824,-24.374,38.74,23.496,485.131,0
145,7.25,cruise,509.793,-24.426,38.52,533.286,-24.375,38.61,23.494,977.489,0
146,7.3,cruise,509.257,-24.427,38.56,532.754,-24.376,38.2,23.496,-1,0
147,7.35,cruise,508.722,-24.428,38.52,532.227,-24.378,37.78,23.504,-1,0
148,7.4,cruise,508.187,-24.429,38.56,531.706,-24.379,37.26,23.519,-1,0
149,7.45,cruise,507.652,-24.43,38.52,531.192,-24.38,36.91,23.54,-1,0
150,7.5,cruise,507.116,-24.432,38.56,530.682,-24.381,36.59,23.566,-1,0
151,7.55,cruise,506.581,-24.433,38.52,530.175,-24.382,36.51,23.594,-1,0
152,7.6,cruise,506.046,-24.434,38.56,529.668,-24.384,36.49,23.622,-1,0
153,7.65,cruise,505.511,-24.435,38.52,529.159,-24.385,36.68,23.649,-1,0
154,7.7,cruise,504.975,-24.436,38.56,528.649,-24.386,36.85,23.673,-1,0
155,7.75,cruise,504.44,-24.437,38.52,528.135,-24.387,37.12,23.695,-1,0
156,7.8,cruise,503.905,-24.439,38.56,527.618,-24.388,37.26,23.713,-1,0
157,7.85,cruise,503.37,-24.44,38.52,527.099,-24.389,37.43,23.729,-1,0
158,7.9,cruise,502.834,-24.441,38.56,526.579,-24.391,37.44,23.744,-1,0
159,7.95,cruise,502.299,-24.442,38.52,526.058,-24.392,37.46,23.759,-1,0
160,8.0,cruise,501.764,-24.443,38.56,525.539,-24.393,37.36,23.775,-1,0
161,8.05,cruise,501.229,-24.444,38.52,525.021,-24.394,37.31,23.792,-1,0
162,8.1,cruise,500.693,-24.446,38.56,524.503,-24.395,37.17,23.81,-1,0
163,8.15,cruise,500.158,-24.447,38.52,523.988,-24.396,37.14,23.83,-1,0
164,8.2,cruise,499.623,-24.448,38.56,523.473,-24.397,37.04,23.85,-1,0
165,8.25,cruise,499.088,-24.449,38.52,522.958,-24.398,37.06,23.871,-1,0
166,8.3,cruise,498.552,-24.45,38.56,522.444,-24.399,37.02,23.892,-1,0
167,8.35,cruise,498.017,-24.452,38.52,521.929,-24.4,37.09,23.912,-1,0
168,8.4,cruise,497.482,-24.453,38.56,521.414,-24.401,37.08,23.932,-1,0
169,8.45,cruise,496.947,-24.454,38.52,520.898,-24.402,37.17,23.952,-1,0
170,8.5,cruise,496.411,-24.455,38.56,520.382,-24.403,37.16,23.971,-1,0
171,8.55,cruise,495.876,-24.456,38.52,519.865,-24.404,37.23,23.989,-1,0
172,8.6,cruise,495.341,-24.458,38.56,519.348,-24.405,37.2,24.008,-1,0
173,8.65,cruise,494.806,-24.459,38.52,518.831,-24.406,37.24,24.026,-1,0
174,8.7,cruise,494.27,-24.46,38.56,518.314,-24.407,37.22,24.044,-1,0
175,8.75,cruise,493.735,-24.461,38.52,517.796,-24.409,37.47,24.061,-1,0
176,8.8,cruise,493.2,-24.462,38.56,517.273,-24.41,37.8,24.073,-1,0
177,8.85,cruise,492.665,-24.464,38.52,516.744,-24.411,38.26,24.079,-1,0
178,8.9,cruise,492.129,-24.465,38.56,516.211,-24.412,38.38,24.082,-1,0
179,8.95,cruise,491.594,-24.466,38.52,515.678,-24.413,38.31,24.084,-1,0
180,9.0,cruise,491.059,-24.467,38.56,515.149,-24.414,37.97,24.09,-1,0
181,9.05,cruise,490.523,-24.468,38.52,514.624,-24.415,37.63,24.101,-1,0
182,9.1,cruise,489.988,-24.47,38.56,514.105,-24.416,37.21,24.117,-1,0
183,9.15,cruise,489.453,-24.471,38.52,513.591,-24.417,36.93,24.138,-1,0
184,9.2,cruise,488.918,-24.472,38.56,513.08,-24.419,36.68,24.163,-1,0
185,9.25,cruise,488.382,-24.473,38.52,512.571,-24.42,36.65,24.189,-1,0
186,9.3,cruise,487.847,-24.474,38.56,512.061,-24.421,36.76,24.214,-1,0
187,9.35,cruise,487.312,-24.476,38.52,511.547,-24.422,37.19,24.236,-1,0
188,9.4,cruise,486.777,-24.477,38.56,511.027,-24.423,37.69,24.25,-1,0
189,9.45,cruise,486.241,-24.478,38.52,510.498,-24.424,38.33,24.256,-1,0
190,9.5,cruise,485.706,-24.479,38.56,509.963,-24.425,38.6,24.257,2424.664,0
191,9.55,cruise,485.171,-24.481,38.52,509.426,-24.426,38.59,24.256,1282.191,0
192,9.6,cruise,484.636,-24.482,38.56,508.893,-24.428,38.25,24.257,-1,0
193,9.65,cruise,484.1,-24.483,38.52,508.365,-24.429,37.88,24.265,-1,0
194,9.7,cruise,483.565,-24.484,38.56,507.843,-24.43,37.39,24.278,-1,0
195,9.75,cruise,483.03,-24.485,38.52,507.326,-24.431,37.12,24.296,-1,0
196,9.8,cruise,482.495,-24.486,38.56,506.812,-24.432,37.02,24.317,-1,0
197,9.85,cruise,481.959,-24.488,38.52,506.296,-24.433,37.27,24.337,-1,0
198,9.9,cruise,481.424,-24.489,38.56,505.775,-24.434,37.63,24.351,-1,0
