step	score	x	y	w	h	class
0	0.0000					
1	0.7566	9.57	0.04	2.83	1.10	0
2	0.7745	9.43	0.02	2.81	1.08	0
3	0.7828	9.41	0.05	2.81	1.09	0
4	0.8146	9.80	0.08	2.84	1.09	0
5	0.7741	9.87	0.07	2.84	1.09	0
6	0.8901	10.27	0.07	2.77	1.05	0
7	0.9122	10.69	0.08	2.82	1.09	0
8	0.8548	10.82	0.07	2.85	1.10	0
9	0.7655	11.12	0.08	2.85	1.11	0
10	0.8856	11.28	0.07	2.85	1.11	0
11	0.9087	11.45	0.07	2.84	1.10	0
12	0.9045	11.72	0.08	2.83	1.09	0
13	0.8244	11.86	0.08	2.81	1.09	0
14	0.8444	12.17	0.09	2.86	1.10	0
15	0.8758	12.26	0.09	2.87	1.11	0
16	0.9046	12.49	0.09	2.85	1.10	0
17	0.9068	12.62	0.12	2.83	1.10	0
18	0.8150	13.22	0.09	2.76	1.06	0
19	0.8645	13.40	0.08	2.77	1.07	0
20	0.8757	13.33	0.08	2.79	1.07	0
21	0.8290	14.21	0.10	2.77	1.07	0
22	0.8701	14.33	0.10	2.78	1.07	0
23	0.9049	14.39	0.10	2.82	1.08	0
24	0.8971	14.58	0.10	2.82	1.09	0
25	0.8998	14.57	0.11	2.82	1.08	0
26	0.8694	14.69	0.07	2.80	1.08	0
27	0.8464	14.77	0.07	2.81	1.08	0
28	0.8189	14.81	0.08	2.81	1.08	0
29	0.8037	14.84	0.09	2.80	1.08	0
30	0.8415	15.25	0.15	2.77	1.07	0
31	0.8403	15.26	0.16	2.77	1.07	0
32	0.8583	14.77	0.23	2.80	1.08	0
33	0.8595	15.37	0.22	2.77	1.07	0
34	0.8769	15.56	0.29	2.77	1.07	0
35	0.8827	15.52	0.30	2.82	1.09	0
36	0.8889	15.51	0.30	2.82	1.09	0
37	0.8965	15.45	0.31	2.82	1.09	0
38	0.9055	15.55	0.31	2.81	1.08	0
39	0.8853	15.38	0.29	2.82	1.09	0
40	0.8821	15.54	0.27	2.75	1.07	0
41	0.8777	15.47	0.21	2.77	1.08	0
42	0.8579	15.28	0.19	2.78	1.07	0
43	0.8739	15.44	0.14	2.77	1.07	0
44	0.8149	15.20	0.10	2.77	1.07	0
45	0.8144	15.31	0.07	2.77	1.07	0
46	0.8346	14.74	0.06	2.78	1.07	0
47	0.8336	14.53	-0.05	2.77	1.07	0
48	0.8312	14.62	-0.06	2.77	1.07	0
49	0.8620	14.39	-0.06	2.78	1.07	0
50	0.8342	14.53	-0.05	2.78	1.07	0
51	0.8443	14.38	-0.06	2.78	1.07	0
52	0.8889	14.48	0.07	2.81	1.09	0
53	0.8990	14.46	0.09	2.81	1.09	0
54	0.8912	14.39	0.09	2.81	1.09	0
55	0.9030	14.46	0.12	2.81	1.09	0
56	0.9027	14.41	0.10	2.78	1.08	0
57	0.8934	14.36	0.12	2.80	1.07	0
58	0.8983	14.54	0.14	2.82	1.09	0
59	0.8934	14.54	0.11	2.80	1.08	0
60	0.8867	14.50	0.11	2.81	1.09	0
61	0.8786	14.64	0.09	2.80	1.08	0
62	0.8281	14.75	0.06	2.79	1.08	0
63	0.7336	14.75	-0.06	2.77	1.06	0
64	0.7559	14.83	-0.13	2.76	1.07	0
65	0.8353	15.25	-0.16	2.78	1.07	0
66	0.8905	15.41	-0.16	2.79	1.08	0
67	0.8720	15.31	-0.25	2.78	1.07	0
68	0.8255	15.21	-0.16	2.78	1.08	0
69	0.7814	15.20	-0.13	2.77	1.07	0
70	0.7250	15.23	-0.04	2.75	1.06	0
71	0.8371	15.46	0.05	2.76	1.06	0
72	0.8746	15.43	0.07	2.80	1.08	0
73	0.8498	15.29	0.06	2.80	1.08	0
74	0.8479	15.30	0.06	2.80	1.08	0
75	0.8386	15.31	0.06	2.78	1.07	0
76	0.7590	15.18	0.06	2.80	1.08	0
77	0.8452	15.28	0.07	2.81	1.08	0
78	0.7957	15.25	0.05	2.79	1.08	0
79	0.7029	15.23	-0.06	2.77	1.07	0
80	0.8647	15.42	-0.17	2.77	1.06	0
81	0.8565	15.33	-0.24	2.77	1.06	0
82	0.8827	15.54	-0.17	2.79	1.08	0
83	0.8786	15.56	-0.18	2.76	1.06	0
84	0.8791	15.58	-0.18	2.76	1.06	0
85	0.8712	15.59	-0.24	2.76	1.06	0
86	0.8393	15.65	-0.11	2.76	1.06	0
87	0.8443	15.58	0.05	2.82	1.09	0
88	0.8546	15.60	0.07	2.80	1.07	0
89	0.8256	15.64	0.06	2.78	1.07	0
90	0.8048	15.74	0.06	2.78	1.07	0
91	0.7880	15.80	0.07	2.77	1.06	0
92	0.8679	15.67	0.07	2.81	1.09	0
93	0.8428	15.56	0.06	2.83	1.10	0
94	0.7925	15.34	0.06	2.84	1.10	0
95	0.8156	15.69	-0.13	2.75	1.06	0
96	0.7889	16.17	-0.13	2.78	1.08	0
97	0.8869	16.31	-0.21	2.79	1.08	0
98	0.8678	16.28	-0.18	2.80	1.09	0
99	0.8887	16.36	-0.20	2.78	1.08	0
100	0.8984	16.37	-0.20	2.77	1.07	0
101	0.8809	16.39	-0.19	2.77	1.07	0
102	0.8971	16.47	-0.19	2.77	1.07	0
103	0.8750	16.30	-0.19	2.75	1.06	0
104	0.8744	16.40	-0.14	2.74	1.05	0
105	0.8346	16.26	-0.13	2.74	1.05	0
106	0.8698	16.54	0.06	2.79	1.08	0
107	0.8487	16.40	0.06	2.79	1.08	0
108	0.8106	16.33	0.06	2.79	1.08	0
109	0.8859	16.36	-0.14	2.75	1.05	0
110	0.8673	16.29	-0.16	2.76	1.06	0
111	0.9110	16.40	-0.31	2.76	1.06	0
112	0.9065	16.35	-0.27	2.78	1.07	0
113	0.9068	16.50	-0.28	2.77	1.07	0
114	0.9148	16.56	-0.32	2.78	1.07	0
115	0.9088	16.44	-0.25	2.77	1.07	0
116	0.9054	16.45	-0.30	2.77	1.06	0
117	0.8339	16.77	-0.20	2.76	1.06	0
118	0.8035	17.18	-0.12	2.78	1.08	0
119	0.8307	16.71	-0.17	2.75	1.06	0
120	0.7854	16.81	-0.19	2.75	1.06	0
121	0.8572	16.61	-0.18	2.75	1.05	0
122	0.8209	16.76	-0.19	2.76	1.06	0
123	0.8796	16.56	-0.19	2.75	1.05	0
124	0.8681	16.59	-0.25	2.76	1.06	0
125	0.8995	16.61	-0.42	2.76	1.06	0
126	0.8982	16.53	-0.39	2.77	1.06	0
127	0.8947	16.60	-0.54	2.76	1.06	0
128	0.8817	16.75	-0.62	2.76	1.06	0
129	0.8577	16.77	-0.60	2.76	1.06	0
130	0.8832	16.72	-0.56	2.75	1.06	0
131	0.8938	16.66	-0.48	2.75	1.05	0
132	0.8768	16.67	-0.41	2.75	1.05	0
133	0.8930	17.26	-0.20	2.78	1.07	0
134	0.8801	16.61	-0.24	2.74	1.05	0
135	0.8129	17.22	-0.12	2.77	1.07	0
136	0.8256	17.20	-0.15	2.76	1.06	0
137	0.9060	17.33	-0.20	2.78	1.07	0
138	0.9167	17.36	-0.34	2.79	1.08	0
139	0.9107	17.33	-0.46	2.80	1.08	0
140	0.9088	17.33	-0.54	2.80	1.08	0
141	0.9047	17.35	-0.55	2.80	1.08	0
142	0.8959	17.37	-0.65	2.79	1.08	0
143	0.9009	17.37	-0.66	2.80	1.08	0
144	0.8598	17.19	-0.63	2.80	1.08	0
145	0.8181	16.78	-0.59	2.77	1.06	0
146	0.8926	17.32	-0.57	2.80	1.08	0
147	0.8885	17.64	-0.58	2.79	1.07	0
148	0.9177	17.51	-0.36	2.80	1.08	0
149	0.9233	17.45	-0.34	2.81	1.09	0
150	0.9182	17.41	-0.31	2.80	1.08	0
151	0.8962	17.70	-0.37	2.80	1.08	0
152	0.8928	17.72	-0.37	2.81	1.09	0
153	0.9129	17.57	-0.37	2.81	1.09	0
154	0.9068	17.38	-0.43	2.75	1.05	0
155	0.8970	17.67	-0.39	2.79	1.08	0
156	0.8847	17.65	-0.65	2.74	1.05	0
157	0.8671	17.63	-0.55	2.80	1.07	0
158	0.8852	17.64	-0.70	2.79	1.08	0
159	0.8585	17.51	-0.81	2.74	1.05	0
160	0.8652	17.61	-0.72	2.74	1.05	0
161	0.8745	17.70	-0.54	2.79	1.07	0
162	0.8705	17.74	-0.51	2.79	1.07	0
163	0.8932	18.27	-0.53	2.81	1.09	0
164	0.8724	17.70	-0.71	2.73	1.05	0
165	0.8865	18.22	-0.51	2.80	1.08	0
166	0.8855	18.19	-0.44	2.79	1.08	0
167	0.8980	18.25	-0.36	2.79	1.08	0
168	0.9085	18.31	-0.45	2.80	1.09	0
169	0.8730	17.75	-0.63	2.72	1.04	0
170	0.8696	18.22	-0.62	2.80	1.09	0
171	0.8609	18.29	-0.73	2.80	1.08	0
172	0.8573	18.38	-0.82	2.79	1.08	0
173	0.8642	18.32	-0.78	2.80	1.08	0
174	0.8590	18.34	-0.78	2.79	1.08	0
175	0.8589	18.39	-0.63	2.79	1.07	0
176	0.8515	18.44	-0.85	2.78	1.07	0
177	0.8061	18.41	-0.88	2.78	1.06	0
178	0.8012	18.46	-0.82	2.78	1.07	0
