step	score	x	y	w	h	class
126	0.7288	18.85	0.06	2.79	1.08	0
127	0.7583	19.20	0.07	2.78	1.08	0
128	0.8494	19.32	0.08	2.78	1.08	0
129	0.8494	19.34	0.09	2.78	1.08	0
130	0.8589	19.38	0.10	2.78	1.08	0
131	0.8519	19.30	0.10	2.79	1.09	0
132	0.8468	19.35	0.11	2.79	1.09	0
133	0.8474	19.66	0.16	2.78	1.08	0
134	0.8532	19.35	0.12	2.79	1.09	0
135	0.8509	19.71	0.21	2.80	1.10	0
136	0.8100	19.75	0.05	2.80	1.09	0
137	0.8128	19.68	0.07	2.73	1.07	0
138	0.7874	20.20	0.22	2.81	1.10	0
139	0.8382	20.45	0.15	2.81	1.10	0
140	0.8350	20.64	0.15	2.82	1.11	0
141	0.8238	20.73	0.13	2.83	1.11	0
142	0.7301	20.62	0.04	2.82	1.10	0
143	0.7744	20.82	0.07	2.74	1.07	0
144	0.8402	20.64	0.07	2.76	1.08	0
145	0.8619	20.58	0.11	2.75	1.07	0
146	0.8380	21.31	0.35	2.83	1.11	0
147	0.8515	21.32	0.42	2.83	1.11	0
148	0.8512	21.46	0.25	2.82	1.11	0
149	0.8594	21.48	0.25	2.82	1.11	0
150	0.8533	21.42	0.21	2.83	1.11	0
151	0.7972	21.71	0.05	2.83	1.10	0
152	0.8006	21.57	0.05	2.82	1.09	0
153	0.8260	21.75	0.09	2.76	1.08	0
154	0.7532	21.77	0.07	2.77	1.08	0
155	0.7324	21.72	0.06	2.77	1.08	0
156	0.8164	22.29	0.17	2.86	1.12	0
157	0.8150	22.47	0.11	2.85	1.12	0
158	0.8257	22.60	0.19	2.84	1.11	0
159	0.8329	22.57	0.15	2.85	1.11	0
160	0.8192	22.66	0.16	2.83	1.11	0
161	0.8395	22.56	0.06	2.83	1.09	0
162	0.8573	22.55	0.22	2.86	1.12	0
163	0.8600	22.61	0.08	2.83	1.09	0
164	0.8332	22.75	0.09	2.83	1.10	0
165	0.8606	22.67	0.18	2.79	1.09	0
166	0.8537	23.56	0.38	2.84	1.11	0
167	0.8676	23.57	0.33	2.84	1.11	0
