step	idx	score	x	y	w	h	class
59	2	0.9751	-32.00	-40.00	0.00	0.00	0
60	0	0.9905	-32.00	-40.00	0.00	0.00	0
60	1	0.9836	-32.00	-40.00	-0.00	-0.00	0
60	2	0.9725	-32.00	-40.00	0.00	0.00	0
61	0	0.9907	-32.00	-40.00	0.00	0.00	0
61	1	0.9844	-32.00	-40.00	-0.00	-0.00	0
61	2	0.9746	-32.00	-40.00	0.00	0.00	0
62	0	0.9899	-32.00	-40.00	0.00	0.00	0
62	1	0.9853	-32.00	-40.00	-0.00	-0.00	0
63	0	0.9899	-32.00	-40.00	0.00	0.00	0
63	1	0.9855	-32.00	-40.00	-0.00	-0.00	0
63	2	0.9722	-32.00	-40.00	0.00	0.00	0
64	0	0.9898	-32.00	-40.00	0.00	0.00	0
64	1	0.9850	-32.00	-40.00	-0.00	-0.00	0
65	0	0.9894	-32.00	-40.00	0.00	0.00	0
65	1	0.9856	-32.00	-40.00	-0.00	0.00	0
66	0	0.9902	-32.00	-40.00	0.00	0.00	0
66	1	0.9847	-32.00	-40.00	-0.00	0.00	0
67	0	0.9902	-32.00	-40.00	0.00	0.00	0
67	1	0.9862	-32.00	-40.00	-0.00	0.00	0
68	0	0.9897	-32.00	-40.00	0.00	0.00	0
68	1	0.9855	-32.00	-40.00	0.00	0.00	0
68	2	0.9701	-32.00	-40.00	0.00	0.00	0
69	0	0.9896	-32.00	-40.00	0.00	0.00	0
69	1	0.9854	-32.00	-40.00	0.00	0.00	0
69	2	0.9718	-32.00	-40.00	0.00	0.00	0
70	0	0.9895	-32.00	-40.00	0.00	0.00	0
70	1	0.9869	-32.00	-40.00	-0.00	0.00	0
70	2	0.9728	-32.00	-40.00	0.00	0.00	0
71	0	0.9895	-32.00	-40.00	0.00	0.00	0
71	1	0.9866	-32.00	-40.00	-0.00	0.00	0
71	2	0.9691	-32.00	-40.00	0.00	0.00	0
72	0	0.9896	-32.00	-40.00	0.01	0.00	0
72	1	0.9864	-32.00	-40.00	-0.00	-0.00	0
72	2	0.9696	-32.00	-40.00	0.00	0.00	0
73	0	0.9891	-32.00	-40.00	0.01	0.00	0
73	1	0.9860	-32.00	-40.00	-0.00	-0.00	0
73	2	0.9688	-32.00	-40.00	0.00	0.00	0
74	0	0.9887	-32.00	-40.00	0.01	0.00	0
74	1	0.9858	-32.00	-40.00	-0.00	-0.00	0
74	2	0.9725	-32.00	-40.00	0.00	0.00	0
75	0	0.9890	-32.00	-40.00	0.00	0.00	0
75	1	0.9847	-32.00	-40.00	-0.00	-0.00	0
75	2	0.9699	-32.00	-40.00	0.00	0.00	0
76	0	0.9893	-32.00	-40.00	0.00	0.00	0
76	1	0.9848	-32.00	-40.00	-0.00	-0.00	0
76	2	0.9682	-32.00	-40.00	0.00	0.00	0
77	0	0.9895	-32.00	-40.00	0.00	0.00	0
77	1	0.9847	-32.00	-40.00	-0.00	0.00	0
77	2	0.9773	-32.00	-40.00	0.00	0.00	0
78	0	0.9893	-32.00	-40.00	0.00	0.00	0
78	1	0.9844	-32.00	-40.00	0.00	0.00	0
78	2	0.9733	-32.00	-40.00	0.00	0.00	0
79	0	0.9893	-32.00	-40.00	0.00	0.00	0
