step	idx	score	x	y	w	h	class
28	2	0.9970	-32.00	-40.00	-0.00	-0.00	0
28	3	0.7957	13.86	0.31	2.78	1.08	0
29	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
29	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
29	2	0.7960	13.85	0.37	2.78	1.07	0
30	0	0.9992	-32.00	-40.00	0.00	-0.00	0
30	1	0.9976	-32.00	-40.00	-0.00	-0.00	0
30	2	0.8197	13.84	0.27	2.79	1.08	0
31	0	0.9990	-32.00	-40.00	0.00	-0.00	0
31	1	0.9986	-32.00	-40.00	0.00	0.00	0
31	2	0.9979	-32.00	-40.00	-0.00	-0.00	0
31	3	0.7934	13.85	0.28	2.79	1.08	0
31	4	0.3216	-28.45	-32.78	2.45	1.00	0
32	0	0.9992	-32.00	-40.00	-0.00	-0.00	0
32	1	0.9987	-32.00	-40.00	0.00	-0.00	0
32	2	0.9979	-32.00	-40.00	-0.00	-0.00	0
32	3	0.7960	13.84	0.29	2.79	1.08	0
32	4	0.3988	-28.48	-32.67	2.41	0.99	0
33	0	0.9988	-32.00	-40.00	-0.00	-0.00	0
33	1	0.9978	-32.00	-40.00	0.00	-0.00	0
33	2	0.9973	-32.00	-40.00	-0.00	-0.00	0
33	3	0.7893	14.25	0.18	2.77	1.07	0
34	0	0.9988	-32.00	-40.00	-0.00	-0.00	0
34	1	0.9979	-32.00	-40.00	0.00	-0.00	0
34	2	0.9966	-32.00	-40.00	-0.00	-0.00	0
34	3	0.8462	13.79	0.38	2.80	1.08	0
35	0	0.9989	-32.00	-40.00	-0.00	-0.00	0
35	1	0.9959	-32.00	-40.00	-0.00	-0.00	0
35	2	0.8150	13.82	0.28	2.79	1.08	0
36	0	0.9990	-32.00	-40.00	-0.00	-0.00	0
36	1	0.9982	-32.00	-40.00	0.00	-0.00	0
36	2	0.9961	-32.00	-40.00	-0.00	-0.00	0
36	3	0.7913	13.84	0.24	2.79	1.08	0
37	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
37	1	0.9976	-32.00	-40.00	-0.00	-0.00	0
37	2	0.9961	-32.00	-40.00	-0.00	-0.00	0
37	3	0.8391	13.73	0.18	2.78	1.08	0
38	0	0.9990	-32.00	-40.00	-0.00	-0.00	0
38	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
38	2	0.7693	14.19	0.27	2.80	1.09	0
39	0	0.9989	-32.00	-40.00	-0.00	-0.00	0
39	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
39	2	0.7946	14.29	0.11	2.75	1.06	0
40	0	0.9989	-32.00	-40.00	-0.00	-0.00	0
40	1	0.9978	-32.00	-40.00	0.00	-0.00	0
40	2	0.9961	-32.00	-40.00	-0.00	-0.00	0
40	3	0.8315	14.35	0.15	2.79	1.08	0
41	0	0.9980	-32.00	-40.00	0.00	-0.00	0
41	1	0.9972	-32.00	-40.00	0.00	-0.00	0
41	2	0.9957	-32.00	-40.00	-0.00	-0.00	0
41	3	0.8444	14.44	0.18	2.79	1.08	0
42	0	0.9980	-32.00	-40.00	0.00	-0.00	0
42	1	0.9974	-32.00	-40.00	0.00	-0.00	0
42	2	0.9955	-32.00	-40.00	-0.00	-0.00	0
42	3	0.8534	14.41	0.16	2.79	1.08	0
43	0	0.9981	-32.00	-40.00	0.00	-0.00	0
43	1	0.9975	-32.00	-40.00	0.00	-0.00	0
43	2	0.9956	-32.00	-40.00	-0.00	-0.00	0
43	3	0.8456	14.39	0.15	2.80	1.09	0
44	0	0.9982	-32.00	-40.00	0.00	-0.00	0
44	1	0.9976	-32.00	-40.00	0.00	-0.00	0
44	2	0.9962	-32.00	-40.00	-0.00	-0.00	0
44	3	0.8563	14.56	0.14	2.79	1.08	0
45	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
45	1	0.9982	-32.01	-40.00	0.00	0.00	0
45	2	0.9973	-32.00	-40.00	-0.00	-0.00	0
45	3	0.8576	14.72	0.16	2.79	1.08	0
46	0	0.9983	-32.00	-40.00	-0.00	-0.00	0
46	1	0.9980	-32.00	-40.00	0.00	-0.00	0
46	2	0.8323	14.79	0.14	2.79	1.08	0
47	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
47	1	0.9970	-32.00	-40.00	0.00	-0.00	0
47	2	0.8397	14.64	0.12	2.79	1.08	0
48	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
48	1	0.9970	-32.00	-40.00	0.00	-0.00	0
48	2	0.8128	14.76	0.13	2.79	1.08	0
49	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
49	1	0.9970	-32.00	-40.00	0.00	-0.00	0
49	2	0.9959	-32.00	-40.00	-0.00	-0.00	0
49	3	0.8103	14.78	0.10	2.79	1.08	0
50	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
50	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
50	2	0.7824	15.26	0.09	2.76	1.07	0
51	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
51	1	0.9981	-32.00	-40.00	0.00	-0.00	0
51	2	0.9964	-32.00	-40.00	-0.00	-0.00	0
51	3	0.8153	15.36	0.09	2.76	1.07	0
52	0	0.9992	-32.00	-40.00	0.00	-0.00	0
52	1	0.9987	-32.00	-40.00	0.00	0.00	0
52	2	0.9970	-32.00	-40.00	-0.00	-0.00	0
52	3	0.8436	15.37	0.11	2.76	1.07	0
53	0	0.9990	-32.00	-40.00	-0.00	-0.00	0
53	1	0.9983	-32.00	-40.00	0.00	-0.00	0
53	2	0.9965	-32.00	-40.00	-0.00	-0.00	0
53	3	0.8552	15.47	0.12	2.76	1.07	0
54	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
54	1	0.9981	-32.00	-40.00	0.00	-0.00	0
54	2	0.9970	-32.00	-40.00	-0.00	-0.00	0
54	3	0.8333	15.35	0.13	2.75	1.07	0
55	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
55	1	0.9980	-32.00	-40.00	0.00	-0.00	0
55	2	0.9967	-32.00	-40.00	-0.00	-0.00	0
